S1,S2,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,stimuli.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,pause.started,text.started,key_resp_3.started,pause.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trial2.started,stimuli_2.started,key_resp_2.started,trial2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
The old man the boats.,The old man walked to the boat.,0,0,0,space,3.7375761999282986,None,,,,0,0,0,0,,,,,0.027532200096175075,,0.022267699940130115,0.027532200096175075,0.027532200096175075,3.7718144999817014,space,3.7375761999282986,None,,,,,,,,,,,,,,,P4,001,2024-12-06_18h24.23.836,selfpacedreading,2024.2.1post4,60.22772096604968,2024-12-06 18h24.33.216773 +0530,
The horse raced past the barn fell.,The horse raced past the barn has fallen.,1,1,0,space,4.735408499836922,None,,,,0,1,1,1,,,,,3.7836795998737216,,3.778201200067997,3.7836795998737216,3.7836795998737216,8.532950799912214,space,4.735408499836922,None,,,,,,,,,,,,,,,P4,001,2024-12-06_18h24.23.836,selfpacedreading,2024.2.1post4,60.22772096604968,2024-12-06 18h24.33.216773 +0530,
The man who hunts ducks out on weekends.,The man who hunts ducks usually does so on weekends. ,2,2,0,space,4.778665599878877,None,,,,0,2,2,2,,,,,8.548166299937293,,8.541535200085491,8.548166299937293,8.548166299937293,13.332966499961913,space,4.778665599878877,None,,,,,,,,,,,,,,,P4,001,2024-12-06_18h24.23.836,selfpacedreading,2024.2.1post4,60.22772096604968,2024-12-06 18h24.33.216773 +0530,
The boy threw the ball played outside. ,The boy who threw the ball played outside afterward. ,3,3,0,space,4.715425800066441,None,,,,0,3,3,3,,,,,13.348116199951619,,13.340274800080806,13.348116199951619,13.348116199951619,18.067192899994552,space,4.715425800066441,None,,,,,,,,,,,,,,,P4,001,2024-12-06_18h24.23.836,selfpacedreading,2024.2.1post4,60.22772096604968,2024-12-06 18h24.33.216773 +0530,
The girl told the story cried. ,The girl who told the story cried afterward. ,4,4,0,space,3.380567700136453,None,,,,0,4,4,4,,,,,18.080286199925467,,18.073190900031477,18.080286199925467,18.080286199925467,21.46468809992075,space,3.380567700136453,None,,,,,,,,,,,,,,,P4,001,2024-12-06_18h24.23.836,selfpacedreading,2024.2.1post4,60.22772096604968,2024-12-06 18h24.33.216773 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.464873800054193,21.479375999886543,21.479375999886543,28.19729879987426,space,6.704830300062895,None,,,,,,,,P4,001,2024-12-06_18h24.23.836,selfpacedreading,2024.2.1post4,60.22772096604968,2024-12-06 18h24.33.216773 +0530,
The old man the boats.,The old man walked to the boat.,0,0,0,,,,space,4.476170000154525,None,,,,,0,0,0,0,28.21288189990446,,,,,,,,,,,,,,,,28.206899999873713,28.21288189990446,28.21288189990446,32.69597480003722,space,4.476170000154525,None,P4,001,2024-12-06_18h24.23.836,selfpacedreading,2024.2.1post4,60.22772096604968,2024-12-06 18h24.33.216773 +0530,
The horse raced past the barn fell.,The horse raced past the barn has fallen.,1,1,0,,,,space,3.40696689998731,None,,,,,0,1,1,1,32.71143179992214,,,,,,,,,,,,,,,,32.700451700016856,32.71143179992214,32.71143179992214,36.13098539994098,space,3.40696689998731,None,P4,001,2024-12-06_18h24.23.836,selfpacedreading,2024.2.1post4,60.22772096604968,2024-12-06 18h24.33.216773 +0530,
The man who hunts ducks out on weekends.,The man who hunts ducks usually does so on weekends. ,2,2,0,,,,space,3.5834589002188295,None,,,,,0,2,2,2,36.144540400011465,,,,,,,,,,,,,,,,36.138770499965176,36.144540400011465,36.144540400011465,39.7468010999728,space,3.5834589002188295,None,P4,001,2024-12-06_18h24.23.836,selfpacedreading,2024.2.1post4,60.22772096604968,2024-12-06 18h24.33.216773 +0530,
The boy threw the ball played outside. ,The boy who threw the ball played outside afterward. ,3,3,0,,,,space,3.753593400120735,None,,,,,0,3,3,3,39.760972700081766,,,,,,,,,,,,,,,,39.753608899889514,39.760972700081766,39.760972700081766,43.527994100004435,space,3.753593400120735,None,P4,001,2024-12-06_18h24.23.836,selfpacedreading,2024.2.1post4,60.22772096604968,2024-12-06 18h24.33.216773 +0530,
The girl told the story cried. ,The girl who told the story cried afterward. ,4,4,0,,,,space,2.6594979998189956,None,,,,,0,4,4,4,43.54347290005535,,,,,,,,,,,,,,,,43.531649800017476,43.54347290005535,43.54347290005535,46.210703199962154,space,2.6594979998189956,None,P4,001,2024-12-06_18h24.23.836,selfpacedreading,2024.2.1post4,60.22772096604968,2024-12-06 18h24.33.216773 +0530,
