reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,80,162,0,0,0,t,5.9449121000943705,None,0,0,0,6,0.16139359993394464,,0.15830170002300292,0.16139359993394464,1.012425099965185,1.012425099965185,1.1622971999458969,7.0425162999890745,t,5.9449121000943705,None,P1,001,2024-11-21_17h02.08.695,delaydiscounting,2024.2.1post4,59.96070177791439,2024-11-21 17h02.19.890511 +0530,
11,30,7,1,1,0,l,2.800789300003089,None,0,1,1,0,7.048721499973908,,7.046581499977037,7.048721499973908,8.044874700019136,8.044874700019136,8.061621799948625,10.862314499914646,l,2.800789300003089,None,P1,001,2024-11-21_17h02.08.695,delaydiscounting,2024.2.1post4,59.96070177791439,2024-11-21 17h02.19.890511 +0530,
49,60,89,2,2,0,l,3.519121899968013,None,0,2,2,4,10.877711799927056,,10.86755029996857,10.877711799927056,11.877911299932748,11.877911299932748,11.877911299932748,15.412005299935117,l,3.519121899968013,None,P1,001,2024-11-21_17h02.08.695,delaydiscounting,2024.2.1post4,59.96070177791439,2024-11-21 17h02.19.890511 +0530,
27,50,21,3,3,0,l,6.518412800040096,None,0,3,3,2,15.427180900005624,,15.416117399930954,15.427180900005624,16.426446600002237,16.426446600002237,16.426446600002237,22.961053099948913,l,6.518412800040096,None,P1,001,2024-11-21_17h02.08.695,delaydiscounting,2024.2.1post4,59.96070177791439,2024-11-21 17h02.19.890511 +0530,
67,75,119,4,4,0,t,1.016906899982132,None,0,4,4,5,22.976134299999103,,22.964481699978933,22.976134299999103,23.976220699958503,23.976220699958503,23.976220699958503,24.99485579994507,t,1.016906899982132,None,P1,001,2024-11-21_17h02.08.695,delaydiscounting,2024.2.1post4,59.96070177791439,2024-11-21 17h02.19.890511 +0530,
40,55,62,5,5,0,l,0.336120399995707,None,0,5,5,3,25.009503399953246,,24.998270399984904,25.009503399953246,26.00939819996711,26.00939819996711,26.00939819996711,26.360790999955498,l,0.336120399995707,None,P1,001,2024-11-21_17h02.08.695,delaydiscounting,2024.2.1post4,59.96070177791439,2024-11-21 17h02.19.890511 +0530,
15,35,13,6,6,0,t,0.9681604999350384,None,0,6,6,1,26.375870799995027,,26.36418239993509,26.375870799995027,27.37586549995467,27.37586549995467,27.37586549995467,28.360370200010948,t,0.9681604999350384,None,P1,001,2024-11-21_17h02.08.695,delaydiscounting,2024.2.1post4,59.96070177791439,2024-11-21 17h02.19.890511 +0530,
49,60,89,7,0,1,l,0.36596570000983775,None,1,0,7,4,28.375723899924196,,28.36376679991372,28.375723899924196,29.375284499954432,29.375284499954432,29.375284499954432,29.742901799967512,l,0.36596570000983775,None,P1,001,2024-11-21_17h02.08.695,delaydiscounting,2024.2.1post4,59.96070177791439,2024-11-21 17h02.19.890511 +0530,
40,55,62,8,1,1,t,1.4214925999986008,None,1,1,8,3,29.758499499992467,,29.745630400022492,29.758499499992467,30.741995799937285,30.741995799937285,30.758572399965487,32.1756832000101,t,1.4214925999986008,None,P1,001,2024-11-21_17h02.08.695,delaydiscounting,2024.2.1post4,59.96070177791439,2024-11-21 17h02.19.890511 +0530,
11,30,7,9,2,1,l,0.6391978999599814,None,1,2,9,0,32.191630300018005,,32.177772799972445,32.191630300018005,33.19128909998108,33.19128909998108,33.19128909998108,33.842531899921596,l,0.6391978999599814,None,P1,001,2024-11-21_17h02.08.695,delaydiscounting,2024.2.1post4,59.96070177791439,2024-11-21 17h02.19.890511 +0530,
