reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
15,35,13,0,0,0,t,1.5742087999824435,None,0,0,0,1,0.03427130007185042,,0.03149930003564805,0.03427130007185042,1.013203400070779,1.013203400070779,1.046178700053133,2.600026600062847,t,1.5742087999824435,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
49,60,89,1,1,0,l,4.406072200043127,None,0,1,1,4,2.6127306000562385,,2.6048794999951497,2.6127306000562385,3.612483200035058,3.612483200035058,3.612483200035058,8.029823900084011,l,4.406072200043127,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
40,55,62,2,2,0,t,0.69601660000626,None,0,2,2,3,8.04472430003807,,8.034600300015882,8.04472430003807,9.04507430002559,9.04507430002559,9.04507430002559,9.745916599989869,t,0.69601660000626,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
27,50,21,3,3,0,l,0.273172999965027,None,0,3,3,2,9.761530100018717,,9.74900010006968,9.761530100018717,10.74479870009236,10.74479870009236,10.761645400081761,11.029550300096162,l,0.273172999965027,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
67,75,119,4,4,0,l,0.41751970001496375,None,0,4,4,5,11.044846900040284,,11.034174800035544,11.044846900040284,12.04473260010127,12.04473260010127,12.04473260010127,12.463778800098225,l,0.41751970001496375,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
11,30,7,5,5,0,t,0.6472498999210075,None,0,5,5,0,12.477859700098634,,12.466609600000083,12.477859700098634,13.477819000021555,13.477819000021555,13.477819000021555,14.12853470002301,t,0.6472498999210075,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
78,80,162,6,6,0,l,0.7022821999853477,None,0,6,6,6,14.14423259999603,,14.130740000051446,14.14423259999603,15.127657600096427,15.127657600096427,15.144640400074422,15.84537310001906,l,0.7022821999853477,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
11,30,7,7,0,1,t,0.5019189000595361,None,1,0,7,0,15.860938100027852,,15.848604600061662,15.860938100027852,16.861051800078712,16.861051800078712,16.861051800078712,17.37868880003225,t,0.5019189000595361,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
40,55,62,8,1,1,l,0.339778000023216,None,1,1,8,3,17.393868700019084,,17.382420400041156,17.393868700019084,18.393844400066882,18.393844400066882,18.393844400066882,18.74506540002767,l,0.339778000023216,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
78,80,162,9,2,1,t,0.39316179999150336,None,1,2,9,6,18.76051010005176,,18.747417000005953,18.76051010005176,19.760328200063668,19.760328200063668,19.760328200063668,20.16118739999365,t,0.39316179999150336,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
67,75,119,10,3,1,l,0.4142225000541657,None,1,3,10,5,20.176877100020647,,20.163593400036916,20.176877100020647,21.177212100010365,21.177212100010365,21.177212100010365,21.59433800005354,l,0.4142225000541657,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
27,50,21,11,4,1,t,0.9056502999737859,None,1,4,11,2,21.610148700070567,,21.59647720004432,21.610148700070567,22.5932825000491,22.5932825000491,22.610297300037928,23.51066840009298,t,0.9056502999737859,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
15,35,13,12,5,1,l,1.013444900047034,None,1,5,12,1,23.526596900075674,,23.512766500003636,23.526596900075674,24.51008450007066,24.51008450007066,24.52673100004904,25.527231200016104,l,1.013444900047034,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
49,60,89,13,6,1,t,0.41872020007576793,None,1,6,13,4,25.543027300038375,,25.529318000073545,25.543027300038375,26.542906600050628,26.542906600050628,26.542906600050628,26.977052200003527,t,0.41872020007576793,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
49,60,89,14,0,2,l,1.511382499942556,None,2,0,14,4,26.99275120010134,,26.977192500024103,26.99275120010134,27.992559000034817,27.992559000034817,27.992559000034817,29.51059190009255,l,1.511382499942556,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
15,35,13,15,1,2,t,1.265400999924168,None,2,1,15,1,29.52594770002179,,29.51390550006181,29.52594770002179,30.52563829999417,30.52563829999417,30.52563829999417,31.793430200079456,t,1.265400999924168,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
11,30,7,16,2,2,l,0.7529580000555143,None,2,2,16,0,31.808901000069454,,31.79675330000464,31.808901000069454,32.79229590005707,32.79229590005707,32.80892630002927,33.56036950007547,l,0.7529580000555143,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
40,55,62,17,3,2,t,1.0822078000055626,None,2,3,17,3,33.57522790005896,,33.56380290002562,33.57522790005896,34.57523070008028,34.57523070008028,34.57523070008028,35.66077010007575,t,1.0822078000055626,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
78,80,162,18,4,2,l,0.4297917999792844,None,2,4,18,6,35.675385200069286,,35.665575099992566,35.675385200069286,36.6750809000805,36.6750809000805,36.6750809000805,37.10951199999545,l,0.4297917999792844,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
67,75,119,19,5,2,t,0.3514163000509143,None,2,5,19,5,37.12487699999474,,37.11290080007166,37.12487699999474,38.124855900066905,38.124855900066905,38.124855900066905,38.49260720005259,t,0.3514163000509143,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
27,50,21,20,6,2,l,0.2781270000850782,None,2,6,20,2,38.508118199999444,,38.49583800008986,38.508118199999444,39.507875100011006,39.507875100011006,39.507875100011006,39.79236860002857,l,0.2781270000850782,None,P2,001,2024-11-21_17h05.56.102,delaydiscounting,2024.2.1post4,59.875004935891816,2024-11-21 17h06.04.545509 +0530,
