trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03709349990822375,,0.02912440011277795,0.03709349990822375,1.064528299961239,1.064528299961239,1.0679433001205325,1.37817019992508,2.7217103000730276,down,0,1.528049800079316,None,0,579718,001,2024-09-13_11h45.52.662,signaldetection,2024.1.5,None,2024-09-13 11h46.21.983870 +0530,
1,0,1,0,2.7267466001212597,,2.7226223000325263,2.7267466001212597,3.7284913999028504,3.7284913999028504,3.7284913999028504,4.0277966998983175,5.797399299917743,up,0,2.0545046001207083,None,-5,579718,001,2024-09-13_11h45.52.662,signaldetection,2024.1.5,None,2024-09-13 11h46.21.983870 +0530,
2,0,2,0,5.811842400114983,,5.798693400109187,5.811842400114983,6.810719500062987,6.810719500062987,6.82752970000729,7.111074199900031,7.97896119998768,down,1,1.1608331000898033,None,2,579718,001,2024-09-13_11h45.52.662,signaldetection,2024.1.5,None,2024-09-13 11h46.21.983870 +0530,
3,0,3,0,7.994901499943808,,7.979990999912843,7.994901499943808,8.993886600015685,8.993886600015685,9.010475599905476,9.293620599899441,9.878990800119936,down,1,0.879739600000903,None,2,579718,001,2024-09-13_11h45.52.662,signaldetection,2024.1.5,None,2024-09-13 11h46.21.983870 +0530,
4,0,4,0,9.894361299928278,,9.880209000082687,9.894361299928278,10.894017999991775,10.894017999991775,10.894017999991775,11.193588600028306,13.328707400010899,up,1,2.428213399834931,None,0,579718,001,2024-09-13_11h45.52.662,signaldetection,2024.1.5,None,2024-09-13 11h46.21.983870 +0530,
5,0,5,0,13.343700000084937,,13.330393600044772,13.343700000084937,14.343093500006944,14.343093500006944,14.343093500006944,14.643368700053543,16.962134999921545,down,1,2.606865999987349,None,2,579718,001,2024-09-13_11h45.52.662,signaldetection,2024.1.5,None,2024-09-13 11h46.21.983870 +0530,
6,0,6,0,16.9768123999238,,16.963522700127214,16.9768123999238,17.976224800106138,17.976224800106138,17.976224800106138,18.276041300036013,19.527714299969375,up,0,1.5349304000847042,None,-3,579718,001,2024-09-13_11h45.52.662,signaldetection,2024.1.5,None,2024-09-13 11h46.21.983870 +0530,
7,0,7,0,19.543362699914724,,19.528712500119582,19.543362699914724,20.542741999961436,20.542741999961436,20.542741999961436,20.842267900006846,21.311596899991855,up,0,0.7546703000552952,None,-3,579718,001,2024-09-13_11h45.52.662,signaldetection,2024.1.5,None,2024-09-13 11h46.21.983870 +0530,
8,0,8,0,21.326087499968708,,21.312856199918315,21.326087499968708,22.325883999932557,22.325883999932557,22.325883999932557,22.625727399950847,22.978599000023678,up,0,0.6461638999171555,None,-4,579718,001,2024-09-13_11h45.52.662,signaldetection,2024.1.5,None,2024-09-13 11h46.21.983870 +0530,
9,0,9,0,22.99277830007486,,22.97962430003099,22.99277830007486,23.99216390005313,23.99216390005313,23.99216390005313,24.291917799971998,24.47745619993657,up,0,0.4806680998299271,None,-5,579718,001,2024-09-13_11h45.52.662,signaldetection,2024.1.5,None,2024-09-13 11h46.21.983870 +0530,
