trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.07934309996198863,,0.057310599950142205,0.07934309996198863,1.0234651999780908,1.0234651999780908,1.0904983999789692,1.3235299999942072,8.820248799980618,up,1,7.606079999997746,None,0,582318,001,2024-09-19_01h48.59.029,signaldetection,2024.1.5,None,2024-09-19 01h49.07.755125 +0530,
1,0,1,0,8.839012799959164,,8.821480999991763,8.839012799959164,9.822957600001246,9.822957600001246,9.840108899981715,10.122683800000232,10.607647299999371,up,0,0.7806175999576226,None,-2,582318,001,2024-09-19_01h48.59.029,signaldetection,2024.1.5,None,2024-09-19 01h49.07.755125 +0530,
2,0,2,0,10.62294109998038,,10.608245499955956,10.62294109998038,11.622819099982735,11.622819099982735,11.622819099982735,11.923099499952514,12.52364829997532,up,1,0.8925110000418499,None,0,582318,001,2024-09-19_01h48.59.029,signaldetection,2024.1.5,None,2024-09-19 01h49.07.755125 +0530,
3,0,3,0,12.539211199968122,,12.524138699984178,12.539211199968122,13.539102499955334,13.539102499955334,13.539102499955334,13.838893899985123,14.157246999966446,up,1,0.6162927999976091,None,0,582318,001,2024-09-19_01h48.59.029,signaldetection,2024.1.5,None,2024-09-19 01h49.07.755125 +0530,
4,0,4,0,14.17265869997209,,14.157776599982753,14.17265869997209,15.172209499985911,15.172209499985911,15.172209499985911,15.47344279999379,16.107465199951548,up,1,0.930048500013072,None,0,582318,001,2024-09-19_01h48.59.029,signaldetection,2024.1.5,None,2024-09-19 01h49.07.755125 +0530,
5,0,5,0,16.122584500000812,,16.108248299977276,16.122584500000812,17.121814099955373,17.121814099955373,17.121814099955373,17.42186010000296,17.80605439998908,up,1,0.6703130999812856,None,0,582318,001,2024-09-19_01h48.59.029,signaldetection,2024.1.5,None,2024-09-19 01h49.07.755125 +0530,
6,0,6,0,17.82177069998579,,17.80648889997974,17.82177069998579,18.822200900001917,18.822200900001917,18.822200900001917,19.13828959997045,19.922681299969554,down,1,1.0900843999697827,None,3,582318,001,2024-09-19_01h48.59.029,signaldetection,2024.1.5,None,2024-09-19 01h49.07.755125 +0530,
7,0,7,0,19.938051399949472,,19.923125499975868,19.938051399949472,20.938347499992233,20.938347499992233,20.938347499992233,21.237963199964724,22.371978399984073,up,1,1.4240333000198007,None,0,582318,001,2024-09-19_01h48.59.029,signaldetection,2024.1.5,None,2024-09-19 01h49.07.755125 +0530,
8,0,8,0,22.38782809994882,,22.372467799985316,22.38782809994882,23.387523799960036,23.387523799960036,23.387523799960036,23.687686099961866,23.989163499965798,up,1,0.5916080000461079,None,0,582318,001,2024-09-19_01h48.59.029,signaldetection,2024.1.5,None,2024-09-19 01h49.07.755125 +0530,
9,0,9,0,24.00439620000543,,23.98984749999363,24.00439620000543,25.00435069995001,25.00435069995001,25.00435069995001,25.304321599949617,25.588572899985593,up,1,0.5690486000385135,None,0,582318,001,2024-09-19_01h48.59.029,signaldetection,2024.1.5,None,2024-09-19 01h49.07.755125 +0530,
