S1,E_N,S2,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,stimuli.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,pause.started,text.started,key_resp_2.started,pause.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial_2.started,text_2.started,key_resp_3.started,trial_2.stopped,trials_2.key_resp_3.keys,trials_2.key_resp_3.rt,trials_2.key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Grateful ,E,Proud ,0,0,0,space,3.1248173999993014,None,,,,0,0,0,0,,,,,0.019725099999050144,,0.015842000000702683,0.019725099999050144,0.019725099999050144,3.165449099999023,space,3.1248173999993014,None,,,,,,,,,,,,,,,P3,001,2025-04-16_18h41.11.794,emotion_nonemotion,2024.2.1post4,59.96929572088659,2025-04-16 18h41.22.906034 +0530,
Walk,N,Table,1,1,0,space,7.526394499998787,None,,,,0,1,1,1,,,,,3.1762808000003133,,3.169450900000811,3.1762808000003133,3.1762808000003133,10.709182399999918,space,7.526394499998787,None,,,,,,,,,,,,,,,P3,001,2025-04-16_18h41.11.794,emotion_nonemotion,2024.2.1post4,59.96929572088659,2025-04-16 18h41.22.906034 +0530,
Hopeful,E,Guilty,2,2,0,space,1.7737658000005467,None,,,,0,2,2,2,,,,,10.724710200000118,,10.71320519999972,10.724710200000118,10.724710200000118,12.509734799999933,space,1.7737658000005467,None,,,,,,,,,,,,,,,P3,001,2025-04-16_18h41.11.794,emotion_nonemotion,2024.2.1post4,59.96929572088659,2025-04-16 18h41.22.906034 +0530,
Bridge,N,Spoon,3,3,0,space,1.9600783000005322,None,,,,0,3,3,3,,,,,12.524380599999859,,12.516233899999861,12.524380599999859,12.524380599999859,14.492370100000699,space,1.9600783000005322,None,,,,,,,,,,,,,,,P3,001,2025-04-16_18h41.11.794,emotion_nonemotion,2024.2.1post4,59.96929572088659,2025-04-16 18h41.22.906034 +0530,
Amused,E,Happy ,4,4,0,space,3.383747299998504,None,,,,0,4,4,4,,,,,14.507568600000013,,14.498141699999906,14.507568600000013,14.507568600000013,17.894431000000623,space,3.383747299998504,None,,,,,,,,,,,,,,,P3,001,2025-04-16_18h41.11.794,emotion_nonemotion,2024.2.1post4,59.96929572088659,2025-04-16 18h41.22.906034 +0530,
Speak,N,Pencil,5,5,0,space,2.9820351999987906,None,,,,0,5,5,5,,,,,17.90733960000034,,17.899540099999285,17.90733960000034,17.90733960000034,20.891597199999524,space,2.9820351999987906,None,,,,,,,,,,,,,,,P3,001,2025-04-16_18h41.11.794,emotion_nonemotion,2024.2.1post4,59.96929572088659,2025-04-16 18h41.22.906034 +0530,
Sad,E,Love,6,6,0,space,4.375172400001247,None,,,,0,6,6,6,,,,,20.906682299999375,,20.895186899999317,20.906682299999375,20.906682299999375,25.291221999999834,space,4.375172400001247,None,,,,,,,,,,,,,,,P3,001,2025-04-16_18h41.11.794,emotion_nonemotion,2024.2.1post4,59.96929572088659,2025-04-16 18h41.22.906034 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.291397400000278,25.306614600000103,25.306614600000103,28.60872120000022,space,3.2991309000008187,None,,,,,,,,P3,001,2025-04-16_18h41.11.794,emotion_nonemotion,2024.2.1post4,59.96929572088659,2025-04-16 18h41.22.906034 +0530,
Grateful ,E,Proud ,0,0,0,,,,space,6.27351439999984,None,,,,,0,0,0,0,28.62248659999932,,,,,,,,,,,,,,,,28.616971499999636,28.62248659999932,28.62248659999932,34.9071929999991,space,6.27351439999984,None,P3,001,2025-04-16_18h41.11.794,emotion_nonemotion,2024.2.1post4,59.96929572088659,2025-04-16 18h41.22.906034 +0530,
Walk,N,Table,1,1,0,,,,space,0.9283280999989074,None,,,,,0,1,1,1,34.92157749999933,,,,,,,,,,,,,,,,34.91374240000005,34.92157749999933,34.92157749999933,35.85734029999912,space,0.9283280999989074,None,P3,001,2025-04-16_18h41.11.794,emotion_nonemotion,2024.2.1post4,59.96929572088659,2025-04-16 18h41.22.906034 +0530,
