S1,E_N,S2,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,stimuli.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,pause.started,text.started,key_resp_2.started,pause.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial_2.started,text_2.started,key_resp_3.started,trial_2.stopped,trials_2.key_resp_3.keys,trials_2.key_resp_3.rt,trials_2.key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Grateful ,E,Proud ,0,0,0,space,1.794375299999956,None,,,,0,0,0,0,,,,,0.021484100001543993,,0.017423400000552647,0.021484100001543993,0.021484100001543993,1.8228536000005988,space,1.794375299999956,None,,,,,,,,,,,,,,,P10,001,2025-04-16_19h35.59.203,emotion_nonemotion,2024.2.1post4,59.77875881397737,2025-04-16 19h36.15.716107 +0530,
Walk,N,Table,1,1,0,space,1.5715985000006185,None,,,,0,1,1,1,,,,,1.8355964000002132,,1.8281224000002112,1.8355964000002132,1.8355964000002132,3.420716300001004,space,1.5715985000006185,None,,,,,,,,,,,,,,,P10,001,2025-04-16_19h35.59.203,emotion_nonemotion,2024.2.1post4,59.77875881397737,2025-04-16 19h36.15.716107 +0530,
Hopeful,E,Guilty,2,2,0,space,2.238879200000156,None,,,,0,2,2,2,,,,,3.4348695000007865,,3.4288962999999058,3.4348695000007865,3.4348695000007865,5.685933000000659,space,2.238879200000156,None,,,,,,,,,,,,,,,P10,001,2025-04-16_19h35.59.203,emotion_nonemotion,2024.2.1post4,59.77875881397737,2025-04-16 19h36.15.716107 +0530,
Bridge,N,Spoon,3,3,0,space,1.7814090000010765,None,,,,0,3,3,3,,,,,5.702009600001475,,5.6923629000011715,5.702009600001475,5.702009600001475,7.486003500000152,space,1.7814090000010765,None,,,,,,,,,,,,,,,P10,001,2025-04-16_19h35.59.203,emotion_nonemotion,2024.2.1post4,59.77875881397737,2025-04-16 19h36.15.716107 +0530,
Amused,E,Happy ,4,4,0,space,1.6742647999999463,None,,,,0,4,4,4,,,,,7.501666100000875,,7.49261210000077,7.501666100000875,7.501666100000875,9.185807800000475,space,1.6742647999999463,None,,,,,,,,,,,,,,,P10,001,2025-04-16_19h35.59.203,emotion_nonemotion,2024.2.1post4,59.77875881397737,2025-04-16 19h36.15.716107 +0530,
Speak,N,Pencil,5,5,0,space,2.445223000000624,None,,,,0,5,5,5,,,,,9.201861700001245,,9.191914000000907,9.201861700001245,9.201861700001245,11.652701800001523,space,2.445223000000624,None,,,,,,,,,,,,,,,P10,001,2025-04-16_19h35.59.203,emotion_nonemotion,2024.2.1post4,59.77875881397737,2025-04-16 19h36.15.716107 +0530,
Sad,E,Love,6,6,0,space,1.3175202999991598,None,,,,0,6,6,6,,,,,11.66845160000048,,11.655551800000467,11.66845160000048,11.66845160000048,13.00170799999978,space,1.3175202999991598,None,,,,,,,,,,,,,,,P10,001,2025-04-16_19h35.59.203,emotion_nonemotion,2024.2.1post4,59.77875881397737,2025-04-16 19h36.15.716107 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.001836800000092,13.017843200001153,13.017843200001153,15.5351210000008,space,2.5145076000007975,None,,,,,,,,P10,001,2025-04-16_19h35.59.203,emotion_nonemotion,2024.2.1post4,59.77875881397737,2025-04-16 19h36.15.716107 +0530,
Grateful ,E,Proud ,0,0,0,,,,space,1.4879396999986056,None,,,,,0,0,0,0,15.550537099999929,,,,,,,,,,,,,,,,15.544553200001246,15.550537099999929,15.550537099999929,17.051750399999946,space,1.4879396999986056,None,P10,001,2025-04-16_19h35.59.203,emotion_nonemotion,2024.2.1post4,59.77875881397737,2025-04-16 19h36.15.716107 +0530,
Walk,N,Table,1,1,0,,,,space,1.3342007000010199,None,,,,,0,1,1,1,17.067014300000665,,,,,,,,,,,,,,,,17.057375700000193,17.067014300000665,17.067014300000665,18.418709900000977,space,1.3342007000010199,None,P10,001,2025-04-16_19h35.59.203,emotion_nonemotion,2024.2.1post4,59.77875881397737,2025-04-16 19h36.15.716107 +0530,
