S1,E_N,S2,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,stimuli.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,pause.started,text.started,key_resp_2.started,pause.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial_2.started,text_2.started,key_resp_3.started,trial_2.stopped,trials_2.key_resp_3.keys,trials_2.key_resp_3.rt,trials_2.key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Grateful ,E,Proud ,0,0,0,space,5.8294402999999875,None,,,,0,0,0,0,,,,,0.024145299999872805,,0.019420299999183044,0.024145299999872805,0.024145299999872805,5.861546399999497,space,5.8294402999999875,None,,,,,,,,,,,,,,,P9,001,2025-04-16_19h34.54.199,emotion_nonemotion,2024.2.1post4,59.8622450019017,2025-04-16 19h35.09.021634 +0530,
Walk,N,Table,1,1,0,space,1.815343700000085,None,,,,0,1,1,1,,,,,5.871887699999206,,5.86618610000005,5.871887699999206,5.871887699999206,7.6901465999999346,space,1.815343700000085,None,,,,,,,,,,,,,,,P9,001,2025-04-16_19h34.54.199,emotion_nonemotion,2024.2.1post4,59.8622450019017,2025-04-16 19h35.09.021634 +0530,
Hopeful,E,Guilty,2,2,0,space,1.657180199999857,None,,,,0,2,2,2,,,,,7.704390200000489,,7.6967132999998285,7.704390200000489,7.704390200000489,9.371834699999454,space,1.657180199999857,None,,,,,,,,,,,,,,,P9,001,2025-04-16_19h34.54.199,emotion_nonemotion,2024.2.1post4,59.8622450019017,2025-04-16 19h35.09.021634 +0530,
Bridge,N,Spoon,3,3,0,space,1.1519286999991891,None,,,,0,3,3,3,,,,,9.387534699999378,,9.376943100000062,9.387534699999378,9.387534699999378,10.55494439999893,space,1.1519286999991891,None,,,,,,,,,,,,,,,P9,001,2025-04-16_19h34.54.199,emotion_nonemotion,2024.2.1post4,59.8622450019017,2025-04-16 19h35.09.021634 +0530,
Amused,E,Happy ,4,4,0,space,1.912225899999612,None,,,,0,4,4,4,,,,,10.571144300000014,,10.562537499999962,10.571144300000014,10.571144300000014,12.488129499999559,space,1.912225899999612,None,,,,,,,,,,,,,,,P9,001,2025-04-16_19h34.54.199,emotion_nonemotion,2024.2.1post4,59.8622450019017,2025-04-16 19h35.09.021634 +0530,
Speak,N,Pencil,5,5,0,space,1.6916670999999042,None,,,,0,5,5,5,,,,,12.504251599999407,,12.492113099999187,12.504251599999407,12.504251599999407,14.20519559999957,space,1.6916670999999042,None,,,,,,,,,,,,,,,P9,001,2025-04-16_19h34.54.199,emotion_nonemotion,2024.2.1post4,59.8622450019017,2025-04-16 19h35.09.021634 +0530,
Sad,E,Love,6,6,0,space,1.2248780999998417,None,,,,0,6,6,6,,,,,14.220135600000503,,14.208579299998746,14.220135600000503,14.220135600000503,15.454268100000263,space,1.2248780999998417,None,,,,,,,,,,,,,,,P9,001,2025-04-16_19h34.54.199,emotion_nonemotion,2024.2.1post4,59.8622450019017,2025-04-16 19h35.09.021634 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.454393500000151,15.469946400000481,15.469946400000481,19.75481839999884,space,4.268332899999223,None,,,,,,,,P9,001,2025-04-16_19h34.54.199,emotion_nonemotion,2024.2.1post4,59.8622450019017,2025-04-16 19h35.09.021634 +0530,
Grateful ,E,Proud ,0,0,0,,,,space,2.8820897999994486,None,,,,,0,0,0,0,19.77181500000006,,,,,,,,,,,,,,,,19.767065799998818,19.77181500000006,19.77181500000006,22.65716969999994,space,2.8820897999994486,None,P9,001,2025-04-16_19h34.54.199,emotion_nonemotion,2024.2.1post4,59.8622450019017,2025-04-16 19h35.09.021634 +0530,
Walk,N,Table,1,1,0,,,,space,1.6729312000006757,None,,,,,0,1,1,1,22.669803099999626,,,,,,,,,,,,,,,,22.66277259999879,22.669803099999626,22.669803099999626,24.35342169999967,space,1.6729312000006757,None,P9,001,2025-04-16_19h34.54.199,emotion_nonemotion,2024.2.1post4,59.8622450019017,2025-04-16 19h35.09.021634 +0530,
