S1,E_N,S2,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,stimuli.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,pause.started,text.started,key_resp_2.started,pause.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial_2.started,text_2.started,key_resp_3.started,trial_2.stopped,trials_2.key_resp_3.keys,trials_2.key_resp_3.rt,trials_2.key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Grateful ,E,Proud ,0,0,0,space,2.8795574999985547,None,,,,0,0,0,0,,,,,0.017650899999352987,,0.014280899998993846,0.017650899999352987,0.017650899999352987,2.9156463999988773,space,2.8795574999985547,None,,,,,,,,,,,,,,,P4,001,2025-04-16_18h44.18.048,emotion_nonemotion,2024.2.1post4,59.95412310486788,2025-04-16 18h44.31.165831 +0530,
Walk,N,Table,1,1,0,space,5.216989399999875,None,,,,0,1,1,1,,,,,2.925715199999104,,2.9204080999988946,2.925715199999104,2.925715199999104,8.14499479999904,space,5.216989399999875,None,,,,,,,,,,,,,,,P4,001,2025-04-16_18h44.18.048,emotion_nonemotion,2024.2.1post4,59.95412310486788,2025-04-16 18h44.31.165831 +0530,
Hopeful,E,Guilty,2,2,0,space,2.753714899999977,None,,,,0,2,2,2,,,,,8.15909229999852,,8.151520100000198,8.15909229999852,8.15909229999852,10.926688499999727,space,2.753714899999977,None,,,,,,,,,,,,,,,P4,001,2025-04-16_18h44.18.048,emotion_nonemotion,2024.2.1post4,59.95412310486788,2025-04-16 18h44.31.165831 +0530,
Bridge,N,Spoon,3,3,0,space,2.4475168000008125,None,,,,0,3,3,3,,,,,10.94175929999983,,10.936164499998995,10.94175929999983,10.94175929999983,13.392615599999772,space,2.4475168000008125,None,,,,,,,,,,,,,,,P4,001,2025-04-16_18h44.18.048,emotion_nonemotion,2024.2.1post4,59.95412310486788,2025-04-16 18h44.31.165831 +0530,
Amused,E,Happy ,4,4,0,space,3.4952572000001965,None,,,,0,4,4,4,,,,,13.40772399999878,,13.398233699999764,13.40772399999878,13.40772399999878,16.90941329999987,space,3.4952572000001965,None,,,,,,,,,,,,,,,P4,001,2025-04-16_18h44.18.048,emotion_nonemotion,2024.2.1post4,59.95412310486788,2025-04-16 18h44.31.165831 +0530,
Speak,N,Pencil,5,5,0,space,2.033098099998824,None,,,,0,5,5,5,,,,,16.923959199999445,,16.915693199998714,16.923959199999445,16.923959199999445,18.95863399999871,space,2.033098099998824,None,,,,,,,,,,,,,,,P4,001,2025-04-16_18h44.18.048,emotion_nonemotion,2024.2.1post4,59.95412310486788,2025-04-16 18h44.31.165831 +0530,
Sad,E,Love,6,6,0,space,1.6044345999998768,None,,,,0,6,6,6,,,,,18.973721299998942,,18.96083219999855,18.973721299998942,18.973721299998942,20.591717999999673,space,1.6044345999998768,None,,,,,,,,,,,,,,,P4,001,2025-04-16_18h44.18.048,emotion_nonemotion,2024.2.1post4,59.95412310486788,2025-04-16 18h44.31.165831 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.591902999998638,20.60710309999922,20.60710309999922,29.424935099999857,space,8.801199599998654,None,,,,,,,,P4,001,2025-04-16_18h44.18.048,emotion_nonemotion,2024.2.1post4,59.95412310486788,2025-04-16 18h44.31.165831 +0530,
Grateful ,E,Proud ,0,0,0,,,,space,4.686401299999488,None,,,,,0,0,0,0,29.441505999999208,,,,,,,,,,,,,,,,29.437933299999713,29.441505999999208,29.441505999999208,34.14039489999959,space,4.686401299999488,None,P4,001,2025-04-16_18h44.18.048,emotion_nonemotion,2024.2.1post4,59.95412310486788,2025-04-16 18h44.31.165831 +0530,
Walk,N,Table,1,1,0,,,,space,5.883868099999745,None,,,,,0,1,1,1,34.155149499998515,,,,,,,,,,,,,,,,34.14672109999992,34.155149499998515,34.155149499998515,40.05645749999894,space,5.883868099999745,None,P4,001,2025-04-16_18h44.18.048,emotion_nonemotion,2024.2.1post4,59.95412310486788,2025-04-16 18h44.31.165831 +0530,
Hopeful,E,Guilty,2,2,0,,,,space,5.3881871000012325,None,,,,,0,2,2,2,40.07117709999875,,,,,,,,,,,,,,,,40.06293639999967,40.07117709999875,40.07117709999875,45.47146160000011,space,5.3881871000012325,None,P4,001,2025-04-16_18h44.18.048,emotion_nonemotion,2024.2.1post4,59.95412310486788,2025-04-16 18h44.31.165831 +0530,
Bridge,N,Spoon,3,3,0,,,,space,5.893862000000809,None,,,,,0,3,3,3,45.48707490000015,,,,,,,,,,,,,,,,45.475306599999385,45.48707490000015,45.48707490000015,51.38868989999901,space,5.893862000000809,None,P4,001,2025-04-16_18h44.18.048,emotion_nonemotion,2024.2.1post4,59.95412310486788,2025-04-16 18h44.31.165831 +0530,
Amused,E,Happy ,4,4,0,,,,space,2.7901990999998816,None,,,,,0,4,4,4,51.40296149999995,,,,,,,,,,,,,,,,51.39354779999849,51.40296149999995,51.40296149999995,54.20407869999872,space,2.7901990999998816,None,P4,001,2025-04-16_18h44.18.048,emotion_nonemotion,2024.2.1post4,59.95412310486788,2025-04-16 18h44.31.165831 +0530,
Speak,N,Pencil,5,5,0,,,,space,2.024556300000768,None,,,,,0,5,5,5,54.21901059999982,,,,,,,,,,,,,,,,54.20830969999952,54.21901059999982,54.21901059999982,56.25395409999874,space,2.024556300000768,None,P4,001,2025-04-16_18h44.18.048,emotion_nonemotion,2024.2.1post4,59.95412310486788,2025-04-16 18h44.31.165831 +0530,
Sad,E,Love,6,6,0,,,,space,0.9916677999990497,None,,,,,0,6,6,6,56.26889189999929,,,,,,,,,,,,,,,,56.25882619999902,56.26889189999929,56.26889189999929,57.26997829999891,space,0.9916677999990497,None,P4,001,2025-04-16_18h44.18.048,emotion_nonemotion,2024.2.1post4,59.95412310486788,2025-04-16 18h44.31.165831 +0530,
