S1,E_N,S2,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,stimuli.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,pause.started,text.started,key_resp_2.started,pause.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial_2.started,text_2.started,key_resp_3.started,trial_2.stopped,trials_2.key_resp_3.keys,trials_2.key_resp_3.rt,trials_2.key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Grateful ,E,Proud ,0,0,0,space,3.217798599998787,None,,,,0,0,0,0,,,,,0.019192099998690537,,0.01636999999936961,0.019192099998690537,0.019192099998690537,3.2434806000001117,space,3.217798599998787,None,,,,,,,,,,,,,,,P2,001,2025-04-16_18h33.59.737,emotion_nonemotion,2024.2.1post4,59.911056046117444,2025-04-16 18h34.11.831041 +0530,
Walk,N,Table,1,1,0,space,1.2056708000000071,None,,,,0,1,1,1,,,,,3.2540790000002744,,3.2471907999988616,3.2540790000002744,3.2540790000002744,4.471753799998623,space,1.2056708000000071,None,,,,,,,,,,,,,,,P2,001,2025-04-16_18h33.59.737,emotion_nonemotion,2024.2.1post4,59.911056046117444,2025-04-16 18h34.11.831041 +0530,
Hopeful,E,Guilty,2,2,0,space,2.1614275999982056,None,,,,0,2,2,2,,,,,4.487488099999609,,4.476063799998883,4.487488099999609,4.487488099999609,6.655188099999577,space,2.1614275999982056,None,,,,,,,,,,,,,,,P2,001,2025-04-16_18h33.59.737,emotion_nonemotion,2024.2.1post4,59.911056046117444,2025-04-16 18h34.11.831041 +0530,
Bridge,N,Spoon,3,3,0,space,1.272753700000976,None,,,,0,3,3,3,,,,,6.67017339999984,,6.660687300000063,6.67017339999984,6.67017339999984,7.9553445000001375,space,1.272753700000976,None,,,,,,,,,,,,,,,P2,001,2025-04-16_18h33.59.737,emotion_nonemotion,2024.2.1post4,59.911056046117444,2025-04-16 18h34.11.831041 +0530,
Amused,E,Happy ,4,4,0,space,1.7078292999995028,None,,,,0,4,4,4,,,,,7.970194300000003,,7.961572799998976,7.970194300000003,7.970194300000003,9.688344799998958,space,1.7078292999995028,None,,,,,,,,,,,,,,,P2,001,2025-04-16_18h33.59.737,emotion_nonemotion,2024.2.1post4,59.911056046117444,2025-04-16 18h34.11.831041 +0530,
Speak,N,Pencil,5,5,0,space,1.4851196999989043,None,,,,0,5,5,5,,,,,9.70329209999909,,9.69338979999884,9.70329209999909,9.70329209999909,11.20453279999856,space,1.4851196999989043,None,,,,,,,,,,,,,,,P2,001,2025-04-16_18h33.59.737,emotion_nonemotion,2024.2.1post4,59.911056046117444,2025-04-16 18h34.11.831041 +0530,
Sad,E,Love,6,6,0,space,2.1042871000008745,None,,,,0,6,6,6,,,,,11.220256900000095,,11.2079733999999,11.220256900000095,11.220256900000095,13.337629699999525,space,2.1042871000008745,None,,,,,,,,,,,,,,,P2,001,2025-04-16_18h33.59.737,emotion_nonemotion,2024.2.1post4,59.911056046117444,2025-04-16 18h34.11.831041 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.337756199998694,13.35321010000007,13.35321010000007,21.136711600000126,space,7.766288500000883,None,,,,,,,,P2,001,2025-04-16_18h33.59.737,emotion_nonemotion,2024.2.1post4,59.911056046117444,2025-04-16 18h34.11.831041 +0530,
Grateful ,E,Proud ,0,0,0,,,,space,2.117272800000137,None,,,,,0,0,0,0,21.15202429999954,,,,,,,,,,,,,,,,21.146992899999532,21.15202429999954,21.15202429999954,23.286820799999987,space,2.117272800000137,None,P2,001,2025-04-16_18h33.59.737,emotion_nonemotion,2024.2.1post4,59.911056046117444,2025-04-16 18h34.11.831041 +0530,
Walk,N,Table,1,1,0,,,,space,1.4542462999997952,None,,,,,0,1,1,1,23.301750999999058,,,,,,,,,,,,,,,,23.29304989999946,23.301750999999058,23.301750999999058,24.770168600000034,space,1.4542462999997952,None,P2,001,2025-04-16_18h33.59.737,emotion_nonemotion,2024.2.1post4,59.911056046117444,2025-04-16 18h34.11.831041 +0530,
