S1,E_N,S2,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,stimuli.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,pause.started,text.started,key_resp_2.started,pause.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial_2.started,text_2.started,key_resp_3.started,trial_2.stopped,trials_2.key_resp_3.keys,trials_2.key_resp_3.rt,trials_2.key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Grateful ,E,Proud ,0,0,0,space,0.8995281999996223,None,,,,0,0,0,0,,,,,0.02420440000059898,,0.01988100000016857,0.02420440000059898,0.02420440000059898,0.9404020000001765,space,0.8995281999996223,None,,,,,,,,,,,,,,,P1,001,2025-04-16_18h32.54.435,emotion_nonemotion,2024.2.1post4,60.05454153482149,2025-04-16 18h33.01.896707 +0530,
Walk,N,Table,1,1,0,space,1.4723269999994955,None,,,,0,1,1,1,,,,,0.9491911999994045,,0.9450151000000915,0.9491911999994045,0.9491911999994045,2.4330362000000605,space,1.4723269999994955,None,,,,,,,,,,,,,,,P1,001,2025-04-16_18h32.54.435,emotion_nonemotion,2024.2.1post4,60.05454153482149,2025-04-16 18h33.01.896707 +0530,
Hopeful,E,Guilty,2,2,0,space,1.1742396999998164,None,,,,0,2,2,2,,,,,2.44840479999948,,2.438192199999321,2.44840479999948,2.44840479999948,3.63305980000041,space,1.1742396999998164,None,,,,,,,,,,,,,,,P1,001,2025-04-16_18h32.54.435,emotion_nonemotion,2024.2.1post4,60.05454153482149,2025-04-16 18h33.01.896707 +0530,
Bridge,N,Spoon,3,3,0,space,2.1982883000000584,None,,,,0,3,3,3,,,,,3.648204600000099,,3.6394230000005336,3.648204600000099,3.648204600000099,5.849873099999968,space,2.1982883000000584,None,,,,,,,,,,,,,,,P1,001,2025-04-16_18h32.54.435,emotion_nonemotion,2024.2.1post4,60.05454153482149,2025-04-16 18h33.01.896707 +0530,
Amused,E,Happy ,4,4,0,space,2.1608632000006764,None,,,,0,4,4,4,,,,,5.864663700000165,,5.856298599999718,5.864663700000165,5.864663700000165,8.033239200000025,space,2.1608632000006764,None,,,,,,,,,,,,,,,P1,001,2025-04-16_18h32.54.435,emotion_nonemotion,2024.2.1post4,60.05454153482149,2025-04-16 18h33.01.896707 +0530,
Speak,N,Pencil,5,5,0,space,1.8260303000006388,None,,,,0,5,5,5,,,,,8.047805099999096,,8.040871299999708,8.047805099999096,8.047805099999096,9.881262700000661,space,1.8260303000006388,None,,,,,,,,,,,,,,,P1,001,2025-04-16_18h32.54.435,emotion_nonemotion,2024.2.1post4,60.05454153482149,2025-04-16 18h33.01.896707 +0530,
Sad,E,Love,6,6,0,space,1.9060890000000654,None,,,,0,6,6,6,,,,,9.89739019999979,,9.883743799999138,9.89739019999979,9.89739019999979,11.814601399999447,space,1.9060890000000654,None,,,,,,,,,,,,,,,P1,001,2025-04-16_18h32.54.435,emotion_nonemotion,2024.2.1post4,60.05454153482149,2025-04-16 18h33.01.896707 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.814683999999033,11.830417600000146,11.830417600000146,17.03220979999969,space,5.189432699999088,None,,,,,,,,P1,001,2025-04-16_18h32.54.435,emotion_nonemotion,2024.2.1post4,60.05454153482149,2025-04-16 18h33.01.896707 +0530,
Grateful ,E,Proud ,0,0,0,,,,space,2.334749499999816,None,,,,,0,0,0,0,17.04674139999952,,,,,,,,,,,,,,,,17.043278200000714,17.04674139999952,17.04674139999952,19.39785099999972,space,2.334749499999816,None,P1,001,2025-04-16_18h32.54.435,emotion_nonemotion,2024.2.1post4,60.05454153482149,2025-04-16 18h33.01.896707 +0530,
Walk,N,Table,1,1,0,,,,space,2.1004173000001174,None,,,,,0,1,1,1,19.412851099999898,,,,,,,,,,,,,,,,19.403188000000227,19.412851099999898,19.412851099999898,21.51557479999974,space,2.1004173000001174,None,P1,001,2025-04-16_18h32.54.435,emotion_nonemotion,2024.2.1post4,60.05454153482149,2025-04-16 18h33.01.896707 +0530,
Hopeful,E,Guilty,2,2,0,,,,space,1.5525197999995726,None,,,,,0,2,2,2,21.529055900000458,,,,,,,,,,,,,,,,21.52051559999927,21.529055900000458,21.529055900000458,23.097826299999724,space,1.5525197999995726,None,P1,001,2025-04-16_18h32.54.435,emotion_nonemotion,2024.2.1post4,60.05454153482149,2025-04-16 18h33.01.896707 +0530,
Bridge,N,Spoon,3,3,0,,,,space,1.5775128999994195,None,,,,,0,3,3,3,23.11259020000034,,,,,,,,,,,,,,,,23.103397799999584,23.11259020000034,23.11259020000034,24.697989599999346,space,1.5775128999994195,None,P1,001,2025-04-16_18h32.54.435,emotion_nonemotion,2024.2.1post4,60.05454153482149,2025-04-16 18h33.01.896707 +0530,
Amused,E,Happy ,4,4,0,,,,space,1.5145589999992808,None,,,,,0,4,4,4,24.712582699999984,,,,,,,,,,,,,,,,24.70273669999915,24.712582699999984,24.712582699999984,26.230521400000725,space,1.5145589999992808,None,P1,001,2025-04-16_18h32.54.435,emotion_nonemotion,2024.2.1post4,60.05454153482149,2025-04-16 18h33.01.896707 +0530,
Speak,N,Pencil,5,5,0,,,,space,2.0477870000013354,None,,,,,0,5,5,5,26.245555299999978,,,,,,,,,,,,,,,,26.23518669999976,26.245555299999978,26.245555299999978,28.297384199999215,space,2.0477870000013354,None,P1,001,2025-04-16_18h32.54.435,emotion_nonemotion,2024.2.1post4,60.05454153482149,2025-04-16 18h33.01.896707 +0530,
Sad,E,Love,6,6,0,,,,space,1.0216101999994862,None,,,,,0,6,6,6,28.311550599999464,,,,,,,,,,,,,,,,28.3028747999997,28.311550599999464,28.311550599999464,29.347133499999472,space,1.0216101999994862,None,P1,001,2025-04-16_18h32.54.435,emotion_nonemotion,2024.2.1post4,60.05454153482149,2025-04-16 18h33.01.896707 +0530,
