stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.023703199811279774,,0.006702499929815531,0.023703199811279774,0.5242565998341888,0.5242565998341888,0.5407241999637336,0.8254294998478144,1.3986211000010371,1,0.7740249000489712,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
1,2,8.0,1.4060050998814404,,1.398684399900958,1.4060050998814404,1.9080012999475002,1.9080012999475002,1.9080012999475002,2.207594299921766,2.5103575999382883,1,0.6000818000175059,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
2,2,6.0,2.5240532997995615,,2.51045549986884,2.5240532997995615,3.0247903999406844,3.0247903999406844,3.0247903999406844,3.339596799807623,3.591967099811882,1,0.5596420001238585,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
3,2,4.0,3.6075796999502927,,3.5920524999964982,3.6075796999502927,4.107255099806935,4.107255099806935,4.107255099806935,4.406270399922505,4.542186199920252,1,0.4281011999119073,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
4,2,2.0,4.557761800009757,,4.542271399870515,4.557761800009757,5.057271499885246,5.057271499885246,5.057271499885246,5.35757019999437,5.740398299880326,1,0.6729480000212789,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
5,2,1.0,5.7562036998569965,,5.740459099877626,5.7562036998569965,6.240117899840698,6.240117899840698,6.256614599842578,6.540899199899286,7.092824999941513,1,0.8468698000069708,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
6,2,1.0,7.1065617999993265,,7.092989299912006,7.1065617999993265,7.607547499937937,7.607547499937937,7.607547499937937,7.907210899982601,8.374663499882445,1,0.7518423001747578,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
7,2,1.0,8.389795399969444,,8.374764799838886,8.389795399969444,8.873945300001651,8.873945300001651,8.890960599994287,9.189725399948657,9.559656099881977,1,0.6837240001186728,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
8,2,1.0,9.57254959992133,,9.559762199874967,9.57254959992133,10.072530699893832,10.072530699893832,10.072530699893832,10.373454699991271,10.708709499798715,1,0.619236399885267,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
9,2,1.0,10.723375499946997,,10.708841999992728,10.723375499946997,11.223931899992749,11.223931899992749,11.223931899992749,11.539440899854526,11.907564299879596,1,0.6819336998742074,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
10,2,1.0,11.922634499846026,,11.907648299820721,11.922634499846026,12.40680419979617,12.40680419979617,12.423333799932152,12.7067232998088,13.12598149990663,1,0.7167452001012862,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
11,2,1.0,13.13830479979515,,13.126066999975592,13.13830479979515,13.640161199960858,13.640161199960858,13.640161199960858,13.939381199888885,14.193582999985665,1,0.5483658001758158,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
12,2,1.0,14.205077899852768,,14.1936568999663,14.205077899852768,14.707203099969774,14.707203099969774,14.707203099969774,15.023323999950662,15.342369899852201,1,0.6316543000284582,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
13,2,1.0,15.35579299996607,,15.342459099832922,15.35579299996607,15.85634719999507,15.85634719999507,15.85634719999507,16.156374000012875,16.508176299976185,1,0.6426731001120061,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
14,2,1.0,16.523208800004795,,16.508311399957165,16.523208800004795,17.022516099968925,17.022516099968925,17.022516099968925,17.322664599865675,17.689734699903056,1,0.6636651000007987,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
15,2,1.0,17.706389699829742,,17.689822299871594,17.706389699829742,18.18924819980748,18.18924819980748,18.206120299873874,18.4894048999995,18.672653399873525,1,0.47680109995417297,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
16,2,1.0,18.688585399882868,,18.672736199805513,18.688585399882868,19.189242099877447,19.189242099877447,19.189242099877447,19.48907159990631,19.608244499890134,1,0.4029480000026524,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
17,2,1.0,19.623931899899617,,19.60840049991384,19.623931899899617,20.12180470000021,20.12180470000021,20.13809939986095,20.421737799886614,20.806303799850866,1,0.682703800033778,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
18,2,1.0,20.821446599904448,,20.806392999831587,20.821446599904448,21.322011299896985,21.322011299896985,21.322011299896985,21.62069689994678,21.989806399913505,1,0.6625387999229133,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
19,2,1.0,22.00542419985868,,21.989890599856153,22.00542419985868,22.50521370000206,22.50521370000206,22.50521370000206,22.80554119986482,23.10571619984694,1,0.5957088998984545,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
20,2,1.0,23.120879399823025,,23.105824599973857,23.120879399823025,23.620402099797502,23.620402099797502,23.620402099797502,23.92192119988613,24.35599059984088,1,0.7215319001115859,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
21,2,1.0,24.372013099957258,,24.356084999861196,24.372013099957258,24.871248499955982,24.871248499955982,24.871248499955982,25.171177999814972,25.508029599906877,1,0.6331956000067294,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
22,1,1.0,25.521046899957582,,25.50812909984961,25.521046899957582,26.02194939996116,26.02194939996116,26.02194939996116,26.322005399968475,26.640775499865413,0,0.6143944999203086,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
23,1,2.0,26.654888599878177,,26.640890599926934,26.654888599878177,27.154135999968275,27.154135999968275,27.154135999968275,27.45466629997827,27.85469919978641,1,0.6893633001018316,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
24,1,2.0,27.870441399980336,,27.854821999790147,27.870441399980336,28.354152399813756,28.354152399813756,28.370275399880484,28.653686699923128,29.10696139978245,1,0.7467514001764357,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
25,1,2.0,29.121043499791995,,29.107073899824172,29.121043499791995,29.621582999825478,29.621582999825478,29.621582999825478,29.921208799816668,30.189489599782974,1,0.5645196000114083,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
26,0.5,1.0,30.20373780000955,,30.18960479996167,30.20373780000955,30.703881199937314,30.703881199937314,30.703881199937314,31.00372859998606,31.38803489995189,0,0.6772775000426918,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
27,0.5,1.5,31.403348199790344,,31.388119799783453,31.403348199790344,31.903285999782383,31.903285999782383,31.903285999782383,32.20360010000877,32.422477199928835,1,0.5179015998728573,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
28,0.5,1.5,32.43692239979282,,32.42255869996734,32.43692239979282,32.93665019981563,32.93665019981563,32.93665019981563,33.23710499983281,33.65665699983947,1,0.7159923000726849,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
29,0.5,1.5,33.669407999841496,,33.656773599796,33.669407999841496,34.17020999989472,34.17020999989472,34.17020999989472,34.469882499892265,34.787504700012505,1,0.6001429001335055,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
30,0.5,1.0,34.80322269978933,,34.78757019992918,34.80322269978933,35.286484899930656,35.286484899930656,35.30370339984074,35.58558449987322,35.941489999881014,1,0.6381999000441283,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
31,0.5,1.0,35.95248689991422,,35.9415527000092,35.95248689991422,36.453587299911305,36.453587299911305,36.453587299911305,36.75274149980396,36.93996819993481,1,0.4820000999607146,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
32,0.5,1.0,36.95234539988451,,36.94012039992958,36.95234539988451,37.452971199993044,37.452971199993044,37.452971199993044,37.75354249984957,38.18643779982813,1,0.7205032999627292,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
33,0.5,1.0,38.20226819999516,,38.18651009979658,38.20226819999516,38.686259699985385,38.686259699985385,38.70189019991085,38.98734019999392,39.10404559993185,1,0.40551019995473325,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
34,0.5,1.0,39.11897199996747,,39.10413519991562,39.11897199996747,39.619419700000435,39.619419700000435,39.619419700000435,39.91848499979824,40.055134599795565,1,0.4214985999278724,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
35,0.5,1.0,40.070098700001836,,40.05526979989372,40.070098700001836,40.56884639989585,40.56884639989585,40.56884639989585,40.869931399822235,41.005225899862126,0,0.4314035000279546,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
36,0.5,1.5,41.019997800001875,,41.005344699835405,41.019997800001875,41.51941929990426,41.51941929990426,41.51941929990426,41.81964379991405,42.57173709990457,1,1.0480709997937083,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
37,0.5,1.5,42.58620519982651,,42.5718394999858,42.58620519982651,43.086253199959174,43.086253199959174,43.086253199959174,43.38587379991077,43.80385469994508,1,0.7060193999204785,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
38,0.5,1.5,43.81824149983004,,43.80391729995608,43.81824149983004,44.31935969996266,44.31935969996266,44.31935969996266,44.63562579988502,44.886815999867395,1,0.5547191000077873,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
39,0.5,1.0,44.901959699811414,,44.88690729998052,44.901959699811414,45.4020290998742,45.4020290998742,45.4020290998742,45.70080979983322,46.08645870001055,1,0.6667005999479443,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
40,0.5,1.0,46.101618399843574,,46.08656999981031,46.101618399843574,46.60225120000541,46.60225120000541,46.60225120000541,46.90229030000046,47.053852499928325,1,0.44818260008469224,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
41,0.5,1.0,47.06850209995173,,47.053948499960825,47.06850209995173,47.56901229987852,47.56901229987852,47.56901229987852,47.86884030001238,48.28673309995793,1,0.7085642998572439,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
42,0.5,1.0,48.30218119989149,,48.28687069984153,48.30218119989149,48.801440599840134,48.801440599840134,48.801440599840134,49.10215609986335,49.45390119985677,1,0.6389853998553008,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
43,0.5,1.0,49.46883049979806,,49.454050899948925,49.46883049979806,49.96803139988333,49.96803139988333,49.96803139988333,50.269049499882385,50.55216689989902,1,0.5694683000911027,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
44,0.5,1.0,50.56807779986411,,50.55226089991629,50.56807779986411,51.06837709993124,51.06837709993124,51.06837709993124,51.36942070000805,51.68816229980439,1,0.6156385000795126,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
45,0.5,1.0,51.701703399885446,,51.68829819979146,51.701703399885446,52.200631599873304,52.200631599873304,52.200631599873304,52.501147100003436,53.369311599992216,1,1.166912600165233,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
46,0.5,1.0,53.38363870000467,,53.36937849991955,53.38363870000467,53.88475039997138,53.88475039997138,53.88475039997138,54.18458110000938,54.86866839998402,1,0.9729866001289338,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
47,0.5,1.0,54.88406809978187,,54.868806399870664,54.88406809978187,55.38407599995844,55.38407599995844,55.38407599995844,55.684529199963436,56.75097519997507,0,1.3595253999810666,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
48,0.5,1.5,56.76760769984685,,56.751034799963236,56.76760769984685,57.24984749988653,57.24984749988653,57.28395019983873,57.55045139999129,58.18488379986957,1,0.9270411999896169,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
49,0.5,1.5,58.20010909996927,,58.18496849993244,58.20010909996927,58.70079609984532,58.70079609984532,58.70079609984532,59.000161999836564,59.484681099886075,1,0.7707732999697328,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
50,0.5,1.5,59.50019819987938,,59.48477139999159,59.50019819987938,59.9839798999019,59.9839798999019,60.00076789990999,60.284182199975476,61.050477399956435,1,1.058457300066948,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
51,0.5,1.0,61.06631639995612,,61.050568899838254,61.06631639995612,61.549711799947545,61.549711799947545,61.56694469996728,61.85074309981428,62.26697180001065,1,0.7114937000442296,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
52,0.5,1.0,62.282253299839795,,62.2670396999456,62.282253299839795,62.783039199886844,62.783039199886844,62.783039199886844,63.08391789998859,63.400987499859184,1,0.6035500001162291,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
53,0.5,1.0,63.41637649992481,,63.40109309996478,63.41637649992481,63.900563600007445,63.900563600007445,63.91650979989208,64.19974559987895,64.65030539990403,0,0.7444678000174463,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
54,0.5,1.5,64.66592719987966,,64.65038349991664,64.66592719987966,65.14957519993186,65.14957519993186,65.16643649991602,65.44925359985791,65.7836226997897,1,0.6286934001836926,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
55,0.5,1.5,65.79864619998261,,65.78370049991645,65.79864619998261,66.28263919986784,66.28263919986784,66.29899979988113,66.58202169998549,66.98567179986276,1,0.7012422000989318,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
56,0.5,1.5,66.99887699983083,,66.98576889978722,66.99887699983083,67.49924589996226,67.49924589996226,67.49924589996226,67.7994634998031,70.28477059979923,1,2.7836575999390334,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
57,0.5,1.0,70.29845689982176,,70.28485999978147,70.29845689982176,70.79929459979758,70.79929459979758,70.79929459979758,71.09922129986808,71.28271659999155,0,0.4757855001371354,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
58,0.5,1.5,71.29794629989192,,71.28279979992658,71.29794629989192,71.78248259983957,71.78248259983957,71.79929180000909,72.08219719980843,72.26540359994397,0,0.47210759995505214,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
59,0.5,2.0,72.28160379990004,,72.26548259984702,72.28160379990004,72.76468779984862,72.76468779984862,72.78109399997629,73.06462189997546,73.2509719999507,1,0.47935399995185435,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
60,0.5,2.0,73.26708929985762,,73.25107999984175,73.26708929985762,73.76442859997042,73.76442859997042,73.78131349990144,74.06529399985448,74.16581989987753,0,0.3970538000576198,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
61,0.5,2.5,74.18099589995109,,74.16591769992374,74.18099589995109,74.68168779998086,74.68168779998086,74.68168779998086,74.9817611000035,75.41552979988046,1,0.7229712998960167,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
62,0.5,2.5,75.43066829978488,,75.41561619983986,75.43066829978488,75.93108129990287,75.93108129990287,75.93108129990287,76.23120379983447,76.31549149984494,0,0.36799509986303747,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
63,0.5,3.0,76.33093659998849,,76.3155513999518,76.33093659998849,76.83157069981098,76.83157069981098,76.83157069981098,77.13196559995413,77.13307009986602,0,0.2975524999201298,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
64,0.5,3.5,77.14761629980057,,77.13314930000342,77.14761629980057,77.64757579984143,77.64757579984143,77.64757579984143,77.94848069990985,78.31652170000598,1,0.6535817000549287,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
65,0.5,3.5,78.33103679982014,,78.31662099994719,78.33103679982014,78.83156879991293,78.83156879991293,78.83156879991293,79.13104439992458,79.48334649996832,0,0.6394177000038326,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
66,0.5,4.0,79.49838029989041,,79.48348279995844,79.49838029989041,79.99652439984493,79.99652439984493,79.99652439984493,80.29819279978983,80.31625819997862,1,0.3136688000522554,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
67,0.5,4.0,80.3307571997866,,80.3163743999321,80.3307571997866,80.8307108997833,80.8307108997833,80.8307108997833,81.13137029996142,81.14989339979365,1,0.30407069995999336,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
68,0.5,4.0,81.1647594999522,,81.15001619979739,81.1647594999522,81.66443319991231,81.66443319991231,81.66443319991231,,81.93133379984647,1,0.2544956000056118,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
69,0.5,3.5,81.94685349985957,,81.93141969991848,81.94685349985957,82.43043439998291,82.43043439998291,82.44690319988877,82.73003420000896,82.71435899985954,0,0.2737521999515593,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
70,0.5,4.0,82.73003420000896,,82.71443689987063,82.73003420000896,83.23010929999873,83.23010929999873,83.23010929999873,,83.43172599980608,0,0.18716189987026155,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
71,0.5,4.5,83.44703319994733,,83.43180999998003,83.44703319994733,83.9467894998379,83.9467894998379,83.9467894998379,84.2475748998113,84.26617669989355,0,0.3088725998532027,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
72,0.5,5.0,84.28090059990063,,84.26630159979686,84.28090059990063,84.78142479993403,84.78142479993403,84.78142479993403,,84.88360209995881,1,0.10080399992875755,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
73,0.5,5.0,84.8965854998678,,84.88369619986042,84.8965854998678,85.39765359996818,85.39765359996818,85.39765359996818,,85.5642072998453,1,0.15122799994423985,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
74,0.5,5.0,85.57979639992118,,85.56428849999793,85.57979639992118,86.06422810000367,86.06422810000367,86.08049779990688,86.36431959993206,86.58176179998554,0,0.5122467000037432,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
75,0.5,5.5,86.59730169991963,,86.58191239996813,86.59730169991963,87.09645849978551,87.09645849978551,87.09645849978551,87.39719709986821,87.53125279978849,1,0.4197569000534713,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
76,0.5,5.5,87.54641700000502,,87.53134009987116,87.54641700000502,88.02987289987504,88.02987289987504,88.0460638999939,,88.2471521999687,1,0.20574430003762245,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
77,0.5,5.5,88.2627015998587,,88.2472310999874,88.2627015998587,88.74616599990986,88.74616599990986,88.7629587999545,89.0470366999507,89.24905039998703,0,0.49994369992055,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
78,0.5,6.0,89.26305119995959,,89.24916179990396,89.26305119995959,89.7633261999581,89.7633261999581,89.7633261999581,90.06344149983488,90.16517349984497,1,0.3856579998973757,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
79,0.5,6.0,90.17970779980533,,90.16528119985014,90.17970779980533,90.67960719997063,90.67960719997063,90.67960719997063,90.97988509992138,91.33071929984726,0,0.6398321001324803,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
80,0.5,6.5,91.34536149981432,,91.33083699992858,91.34536149981432,91.84592569991946,91.84592569991946,91.84592569991946,92.14677069988102,92.44693549978547,0,0.5905639999546111,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
81,0.5,7.0,92.46217640000395,,92.44702199986205,92.46217640000395,92.94597709993832,92.94597709993832,92.96272129984573,93.24681979999878,93.24868909991346,0,0.29840860003605485,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
82,0.5,7.5,93.26306579983793,,93.24885239987634,93.26306579983793,93.76244189986028,93.76244189986028,93.77986879996024,94.06231459998526,94.18240039981902,0,0.41737639997154474,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
83,0.5,8.0,94.1954363998957,,94.18248580000363,94.1954363998957,94.69545919983648,94.69545919983648,94.69545919983648,94.99661119980738,95.46282809996046,0,0.7604686000850052,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
84,0.5,8.5,95.47858849982731,,95.46291639981791,95.47858849982731,95.9628685999196,95.9628685999196,95.9791957999114,96.26314980001189,96.462838599924,1,0.49058940005488694,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
85,0.5,8.5,96.47858619992621,,96.46292359987274,96.47858619992621,96.96272269985639,96.96272269985639,96.97812899993733,97.26241369987838,97.26359979994595,1,0.28726689983159304,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
86,0.5,8.5,97.27856000000611,,97.26366029982455,97.27856000000611,97.77838369994424,97.77838369994424,97.77838369994424,98.07886989996769,98.06359969987534,1,0.27275400003418326,015533,001,2024-09-12_23h34.15.814,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h34.22.902793 +0530,
