stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.037802499951794744,,0.0230169000569731,0.037802499951794744,0.5369068998843431,0.5369068998843431,0.5548268998973072,10.536601899890229,20.794757599942386,1,20.238824399886653,105891,001,2024-09-12_20h25.30.760,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h25.35.624516 +0530,
1,1,8.0,20.817020500078797,,20.794899000087753,20.817020500078797,21.30139339994639,21.30139339994639,21.318021799903363,31.301110100001097,358.0275767000858,0,336.70997130009346,105891,001,2024-09-12_20h25.30.760,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h25.35.624516 +0530,
2,1,9.0,358.0421086999122,,358.0277784001082,358.0421086999122,358.5421486000996,358.5421486000996,358.5421486000996,,359.6452315999195,0,1.1006125998683274,105891,001,2024-09-12_20h25.30.760,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h25.35.624516 +0530,
3,1,10.0,359.6584475999698,,359.6453656000085,359.6584475999698,360.1581486999057,360.1581486999057,360.1581486999057,,361.56009549996816,0,1.39917890005745,105891,001,2024-09-12_20h25.30.760,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h25.35.624516 +0530,
4,1,11.0,361.57472339994274,,361.56023780000396,361.57472339994274,362.0746951000765,362.0746951000765,362.0746951000765,,362.76135229994543,1,0.6826295999344438,105891,001,2024-09-12_20h25.30.760,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h25.35.624516 +0530,
5,1,11.0,362.7745469000656,,362.7615020999219,362.7745469000656,363.2745699000079,363.2745699000079,363.2745699000079,,363.7265329998918,1,0.4429977999534458,105891,001,2024-09-12_20h25.30.760,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h25.35.624516 +0530,
6,1,11.0,363.74143339996226,,363.72665790002793,363.74143339996226,364.2408839999698,364.2408839999698,364.2408839999698,,364.4426676998846,0,0.18617050000466406,105891,001,2024-09-12_20h25.30.760,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h25.35.624516 +0530,
7,1,12.0,364.45745210000314,,364.44279049988836,364.45745210000314,364.95753669994883,364.95753669994883,364.95753669994883,,365.05922470008954,1,0.08636149996891618,105891,001,2024-09-12_20h25.30.760,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h25.35.624516 +0530,
8,1,12.0,365.0742860001046,,365.05935120000504,365.0742860001046,365.57420379994437,365.57420379994437,365.57420379994437,,366.2591842999682,1,0.6789059999864548,105891,001,2024-09-12_20h25.30.760,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h25.35.624516 +0530,
9,1,12.0,366.27436779998243,,366.2593102999963,366.27436779998243,366.77372840000317,366.77372840000317,366.77372840000317,,366.8442130999174,1,0.06851650006137788,105891,001,2024-09-12_20h25.30.760,Adaptive_Staircase,2024.1.5,None,2024-09-12 20h25.35.624516 +0530,
