stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.031509899999946356,,0.014947800198569894,0.031509899999946356,0.530611100140959,0.530611100140959,0.5476436000317335,0.8314383001998067,1.3686536001041532,1,0.8301623999141157,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
1,2,8.0,1.3804060001857579,,1.3687373001594096,1.3804060001857579,1.881052999990061,1.881052999990061,1.881052999990061,2.1813649001996964,2.8002165001817048,1,0.9139529000967741,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
2,2,6.0,2.8146505001932383,,2.800319400150329,2.8146505001932383,3.3149290999863297,3.3149290999863297,3.3149290999863297,3.6142061999998987,4.033197300042957,1,0.709707299945876,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
3,2,4.0,4.047600600169972,,4.0332993001211435,4.047600600169972,4.547080800170079,4.547080800170079,4.547080800170079,4.847192300017923,5.568310500122607,1,1.0187230999581516,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
4,2,2.0,5.581760900095105,,5.568443000083789,5.581760900095105,6.080769299995154,6.080769299995154,6.097891800105572,6.381457700161263,6.582319300156087,1,0.4974754999857396,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
5,2,1.0,6.59760219999589,,6.582410000031814,6.59760219999589,7.097468100022525,7.097468100022525,7.097468100022525,7.397512500174344,7.831483900081366,1,0.7303809002041817,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
6,2,1.0,7.8470056999940425,,7.83157360018231,7.8470056999940425,8.330415799980983,8.330415799980983,8.347875199979171,8.630932700121775,8.98097819997929,1,0.6413970999419689,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
7,2,1.0,8.996861200081185,,8.981065300060436,8.996861200081185,9.496639000019059,9.496639000019059,9.496639000019059,9.796751300105825,10.164861800149083,1,0.6598820998333395,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
8,2,1.0,10.179648600053042,,10.164949300000444,10.179648600053042,10.664345800178126,10.664345800178126,10.68114240001887,10.980166800087318,11.597783799981698,1,0.9278266001492739,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
9,2,1.0,11.612981599988416,,11.597871200181544,11.612981599988416,12.09709980012849,12.09709980012849,12.11317710019648,12.41340640000999,12.547246200032532,1,0.4357427000068128,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
10,2,1.0,12.56254080007784,,12.54733800003305,12.56254080007784,13.062740900088102,13.062740900088102,13.062740900088102,13.363557000178844,13.76314160018228,1,0.6916247999761254,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
11,2,1.0,13.779589700046927,,13.763210300123319,13.779589700046927,14.263863699976355,14.263863699976355,14.280481500085443,14.563624000176787,14.766016500070691,1,0.4996212001424283,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
12,1,1.0,14.77905090013519,,14.766082199988887,14.77905090013519,15.280341000063345,15.280341000063345,15.280341000063345,15.579693500185385,15.963202100014314,0,0.6714761999901384,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
13,1,2.0,15.97871630010195,,15.963280800031498,15.97871630010195,16.46330519998446,16.46330519998446,16.479963700054213,16.778843600070104,17.248951900051907,1,0.7761294001247734,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
14,1,2.0,17.26323000015691,,17.24907850008458,17.26323000015691,17.76252520014532,17.76252520014532,17.77926900004968,18.062351300148293,18.495997000019997,1,0.7272475999779999,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
15,1,2.0,18.5128939000424,,18.496065200073645,18.5128939000424,18.996085399994627,18.996085399994627,19.012389100156724,19.296348800184205,19.54895370011218,1,0.5480085001327097,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
16,1,1.0,19.56301480019465,,19.549091800116003,19.56301480019465,20.06271870015189,20.06271870015189,20.07852580002509,20.362413700204343,21.2459525000304,1,1.1720209000632167,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
17,1,1.0,21.2617646001745,,21.24603940011002,21.2617646001745,21.74477760004811,21.74477760004811,21.761768500087783,22.045896800002083,22.39707070006989,1,0.6378256999887526,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
18,1,1.0,22.412230200134218,,22.39716130006127,22.412230200134218,22.895550300134346,22.895550300134346,22.912796600023285,23.19631710019894,23.530869100010023,1,0.6274262999650091,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
19,1,1.0,23.5451333001256,,23.531002199975774,23.5451333001256,24.04557100008242,24.04557100008242,24.04557100008242,24.344765100162476,24.746420399984345,1,0.6869663000106812,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
20,1,1.0,24.76223019999452,,24.746513199992478,24.76223019999452,25.261745900148526,25.261745900148526,25.261745900148526,25.561953200027347,25.710086400154978,1,0.44542360003106296,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
21,1,1.0,25.727626900188625,,25.71017840015702,25.727626900188625,26.21203380008228,26.21203380008228,26.228665500180796,26.511828400194645,27.04561520018615,1,0.8260645000264049,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
22,1,1.0,27.061194200068712,,27.045690800063312,27.061194200068712,27.5619973000139,27.5619973000139,27.5619973000139,27.861640100134537,28.428956300020218,1,0.857524000108242,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
23,1,1.0,28.444822600111365,,28.429029300110415,28.444822600111365,28.928037600126117,28.928037600126117,28.94493340002373,29.227842300198972,29.762456400087103,1,0.8282985000405461,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
24,1,1.0,29.778495399979874,,29.762532400200143,29.778495399979874,30.277688200119883,30.277688200119883,30.294172200141475,30.577430700184777,30.961456699995324,1,0.6762294999789447,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
25,1,1.0,30.977352500194684,,30.961524800164625,30.977352500194684,31.460483100032434,31.460483100032434,31.47748070000671,31.760198900010437,32.245952600147575,1,0.7724732998758554,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
26,1,1.0,32.26053680013865,,32.24604570004158,32.26053680013865,32.76050680014305,32.76050680014305,32.76050680014305,33.060892099980265,33.511957300128415,1,0.7381696000229567,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
27,1,1.0,33.5262998000253,,33.51209200010635,33.5262998000253,34.027655800106004,34.027655800106004,34.027655800106004,34.3267429000698,34.7281154000666,1,0.6859373000916094,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
28,1,1.0,34.743749700021,,34.72819779999554,34.743749700021,35.22845800011419,35.22845800011419,35.24373280000873,35.52752950019203,36.72721659997478,1,1.4840849000029266,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
29,0.5,1.0,36.742855300195515,,36.72729480010457,36.742855300195515,37.22685150010511,37.22685150010511,37.243719700025395,37.52632940001786,37.893955500097945,0,0.6603260000701994,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
30,0.5,1.5,37.91081200004555,,37.89402600005269,37.91081200004555,38.39416710007936,38.39416710007936,38.41070030000992,38.710001500090584,38.91067000012845,1,0.5082469000481069,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
31,0.5,1.5,38.92620770004578,,38.91073750006035,38.92620770004578,39.42585020000115,39.42585020000115,39.42585020000115,39.72668129997328,39.90999950002879,1,0.4792832999955863,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
32,0.5,1.5,39.925955099985,,39.91009630006738,39.925955099985,40.41091670002788,40.41091670002788,40.42697919998318,40.72653009998612,40.81071400013752,1,0.3923214999958873,992011,001,2024-09-12_23h38.52.802,Adaptive_Staircase,2024.1.5,None,2024-09-12 23h38.57.135909 +0530,
