S1,S2,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,stimuli.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,pause.started,text.started,key_resp_3.started,pause.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trial2.started,stimuli_2.started,key_resp_2.started,trial2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
The old man the boats.,The old man walked to the boat.,0,0,0,space,5.338827299885452,None,,,,0,0,0,0,,,,,0.03679270017892122,,0.031739600002765656,0.03679270017892122,0.03679270017892122,5.459837300004438,space,5.338827299885452,None,,,,,,,,,,,,,,,P1,001,2024-12-06_17h42.39.068,selfpacedreading,2024.2.1post4,60.09680394129791,2024-12-06 17h43.05.298123 +0530,
The horse raced past the barn fell.,The horse raced past the barn has fallen.,1,1,0,space,10.490975699853152,None,,,,0,1,1,1,,,,,5.472727300133556,,5.466912500094622,5.472727300133556,5.472727300133556,15.968460000120103,space,10.490975699853152,None,,,,,,,,,,,,,,,P1,001,2024-12-06_17h42.39.068,selfpacedreading,2024.2.1post4,60.09680394129791,2024-12-06 17h43.05.298123 +0530,
The man who hunts ducks out on weekends.,The man who hunts ducks usually does so on weekends. ,2,2,0,space,7.042497999966145,None,,,,0,2,2,2,,,,,15.983720400137827,,15.976019800174981,15.983720400137827,15.983720400137827,23.033806700026616,space,7.042497999966145,None,,,,,,,,,,,,,,,P1,001,2024-12-06_17h42.39.068,selfpacedreading,2024.2.1post4,60.09680394129791,2024-12-06 17h43.05.298123 +0530,
The boy threw the ball played outside. ,The boy who threw the ball played outside afterward. ,3,3,0,space,6.800819099880755,None,,,,0,3,3,3,,,,,23.04951689997688,,23.041097700130194,23.04951689997688,23.04951689997688,29.865897600073367,space,6.800819099880755,None,,,,,,,,,,,,,,,P1,001,2024-12-06_17h42.39.068,selfpacedreading,2024.2.1post4,60.09680394129791,2024-12-06 17h43.05.298123 +0530,
The girl told the story cried. ,The girl who told the story cried afterward. ,4,4,0,space,5.415670100133866,None,,,,0,4,4,4,,,,,29.88153520016931,,29.87222270015627,29.88153520016931,29.88153520016931,35.299823000095785,space,5.415670100133866,None,,,,,,,,,,,,,,,P1,001,2024-12-06_17h42.39.068,selfpacedreading,2024.2.1post4,60.09680394129791,2024-12-06 17h43.05.298123 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.29996410012245,35.313640700187534,35.313640700187534,57.84700160007924,space,22.51685949997045,None,,,,,,,,P1,001,2024-12-06_17h42.39.068,selfpacedreading,2024.2.1post4,60.09680394129791,2024-12-06 17h43.05.298123 +0530,
The old man the boats.,The old man walked to the boat.,0,0,0,,,,space,5.632605999941006,None,,,,,0,0,0,0,57.86195010016672,,,,,,,,,,,,,,,,57.85642850003205,57.86195010016672,57.86195010016672,63.51255140011199,space,5.632605999941006,None,P1,001,2024-12-06_17h42.39.068,selfpacedreading,2024.2.1post4,60.09680394129791,2024-12-06 17h43.05.298123 +0530,
The horse raced past the barn fell.,The horse raced past the barn has fallen.,1,1,0,,,,space,3.997288200072944,None,,,,,0,1,1,1,63.52727780002169,,,,,,,,,,,,,,,,63.51624869997613,63.52727780002169,63.52727780002169,67.52914910018444,space,3.997288200072944,None,P1,001,2024-12-06_17h42.39.068,selfpacedreading,2024.2.1post4,60.09680394129791,2024-12-06 17h43.05.298123 +0530,
The man who hunts ducks out on weekends.,The man who hunts ducks usually does so on weekends. ,2,2,0,,,,space,5.359087700024247,None,,,,,0,2,2,2,67.54361689998768,,,,,,,,,,,,,,,,67.53589350008406,67.54361689998768,67.54361689998768,72.91137750004418,space,5.359087700024247,None,P1,001,2024-12-06_17h42.39.068,selfpacedreading,2024.2.1post4,60.09680394129791,2024-12-06 17h43.05.298123 +0530,
The boy threw the ball played outside. ,The boy who threw the ball played outside afterward. ,3,3,0,,,,space,4.382731399964541,None,,,,,0,3,3,3,72.92593270004727,,,,,,,,,,,,,,,,72.91863039997406,72.92593270004727,72.92593270004727,77.31079630018212,space,4.382731399964541,None,P1,001,2024-12-06_17h42.39.068,selfpacedreading,2024.2.1post4,60.09680394129791,2024-12-06 17h43.05.298123 +0530,
The girl told the story cried. ,The girl who told the story cried afterward. ,4,4,0,,,,space,4.157835900085047,None,,,,,0,4,4,4,77.3260927000083,,,,,,,,,,,,,,,,77.31623180001043,77.3260927000083,77.3260927000083,81.49216470005922,space,4.157835900085047,None,P1,001,2024-12-06_17h42.39.068,selfpacedreading,2024.2.1post4,60.09680394129791,2024-12-06 17h43.05.298123 +0530,
