S1,S2,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,stimuli.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,pause.started,text.started,key_resp_3.started,pause.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trial2.started,stimuli_2.started,key_resp_2.started,trial2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
The old man the boats.,The old man walked to the boat.,0,0,0,space,3.346837199991569,None,,,,0,0,0,0,,,,,0.029171699890866876,,0.024039299925789237,0.029171699890866876,0.029171699890866876,3.3922368998173624,space,3.346837199991569,None,,,,,,,,,,,,,,,P3,001,2024-12-06_18h17.02.383,selfpacedreading,2024.2.1post4,59.89763498516658,2024-12-06 18h17.11.067630 +0530,
The horse raced past the barn fell.,The horse raced past the barn has fallen.,1,1,0,space,3.2076011998578906,None,,,,0,1,1,1,,,,,3.404264099895954,,3.3981753999833018,3.404264099895954,3.404264099895954,6.621345499996096,space,3.2076011998578906,None,,,,,,,,,,,,,,,P3,001,2024-12-06_18h17.02.383,selfpacedreading,2024.2.1post4,59.89763498516658,2024-12-06 18h17.11.067630 +0530,
The man who hunts ducks out on weekends.,The man who hunts ducks usually does so on weekends. ,2,2,0,space,4.055506900185719,None,,,,0,2,2,2,,,,,6.637358400039375,,6.6282171998173,6.637358400039375,6.637358400039375,10.706138799898326,space,4.055506900185719,None,,,,,,,,,,,,,,,P3,001,2024-12-06_18h17.02.383,selfpacedreading,2024.2.1post4,59.89763498516658,2024-12-06 18h17.11.067630 +0530,
The boy threw the ball played outside. ,The boy who threw the ball played outside afterward. ,3,3,0,space,3.0712727999780327,None,,,,0,3,3,3,,,,,10.726484399987385,,10.720290099969134,10.726484399987385,10.726484399987385,13.8053629999049,space,3.0712727999780327,None,,,,,,,,,,,,,,,P3,001,2024-12-06_18h17.02.383,selfpacedreading,2024.2.1post4,59.89763498516658,2024-12-06 18h17.11.067630 +0530,
The girl told the story cried. ,The girl who told the story cried afterward. ,4,4,0,space,3.3408859001938254,None,,,,0,4,4,4,,,,,13.819966799812391,,13.812759699998423,13.819966799812391,13.819966799812391,17.170285600004718,space,3.3408859001938254,None,,,,,,,,,,,,,,,P3,001,2024-12-06_18h17.02.383,selfpacedreading,2024.2.1post4,59.89763498516658,2024-12-06 18h17.11.067630 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.170417999848723,17.18539709993638,17.18539709993638,23.686366299865767,space,6.483689900022,None,,,,,,,,P3,001,2024-12-06_18h17.02.383,selfpacedreading,2024.2.1post4,59.89763498516658,2024-12-06 18h17.11.067630 +0530,
The old man the boats.,The old man walked to the boat.,0,0,0,,,,space,4.824340799823403,None,,,,,0,0,0,0,23.70378979993984,,,,,,,,,,,,,,,,23.69832480000332,23.70378979993984,23.70378979993984,28.53600089997053,space,4.824340799823403,None,P3,001,2024-12-06_18h17.02.383,selfpacedreading,2024.2.1post4,59.89763498516658,2024-12-06 18h17.11.067630 +0530,
The horse raced past the barn fell.,The horse raced past the barn has fallen.,1,1,0,,,,space,5.363055000081658,None,,,,,0,1,1,1,28.5507868998684,,,,,,,,,,,,,,,,28.542351699899882,28.5507868998684,28.5507868998684,33.91934419982135,space,5.363055000081658,None,P3,001,2024-12-06_18h17.02.383,selfpacedreading,2024.2.1post4,59.89763498516658,2024-12-06 18h17.11.067630 +0530,
The man who hunts ducks out on weekends.,The man who hunts ducks usually does so on weekends. ,2,2,0,,,,space,8.017576300073415,None,,,,,0,2,2,2,33.934128999942914,,,,,,,,,,,,,,,,33.92595489998348,33.934128999942914,33.934128999942914,41.96714159986004,space,8.017576300073415,None,P3,001,2024-12-06_18h17.02.383,selfpacedreading,2024.2.1post4,59.89763498516658,2024-12-06 18h17.11.067630 +0530,
The boy threw the ball played outside. ,The boy who threw the ball played outside afterward. ,3,3,0,,,,space,4.58966529997997,None,,,,,0,3,3,3,41.98256099992432,,,,,,,,,,,,,,,,41.971841800026596,41.98256099992432,41.98256099992432,46.583684199955314,space,4.58966529997997,None,P3,001,2024-12-06_18h17.02.383,selfpacedreading,2024.2.1post4,59.89763498516658,2024-12-06 18h17.11.067630 +0530,
The girl told the story cried. ,The girl who told the story cried afterward. ,4,4,0,,,,space,3.766040800139308,None,,,,,0,4,4,4,46.59878839994781,,,,,,,,,,,,,,,,46.58711009984836,46.59878839994781,46.59878839994781,50.367278299992904,space,3.766040800139308,None,P3,001,2024-12-06_18h17.02.383,selfpacedreading,2024.2.1post4,59.89763498516658,2024-12-06 18h17.11.067630 +0530,
