thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[0.25],[0.31574074074074077],[1],[0],[0],[3.048602399881929],[None],0,0,0,0,0.037157899932935834,,5,0.029075500089675188,0.037157899932935834,0.037157899932935834,0.02868220000527799,3.0787035000976175,[0.25],[0.31574074074074077],[1],[0],[0],[3.048602399881929],[None],982745,001,2024-10-03_20h21.29.940,Visual_search,2024.2.1post4,59.902909406183504,2024-10-03 20h21.33.931097 +0530,
1,0,1,[-0.7138888888888889],[0.05092592592592592],[1],[0],[0],[4.898662999970838],[None],1,0,1,0,3.099045099923387,,5,3.0932221999391913,3.099045099923387,3.099045099923387,0.014222100144252181,7.992416399996728,[-0.7138888888888889],[0.05092592592592592],[1],[0],[0],[4.898662999970838],[None],982745,001,2024-10-03_20h21.29.940,Visual_search,2024.2.1post4,59.902909406183504,2024-10-03 20h21.33.931097 +0530,
2,0,2,[-0.4064814814814815],[-0.23796296296296296],[1],[0],[0],[1.4051886999513954],[None],2,0,2,0,8.009160900022835,,5,8.003083399962634,8.009160900022835,8.009160900022835,0.010429699905216694,9.408834700006992,[-0.4064814814814815],[-0.23796296296296296],[1],[0],[0],[1.4051886999513954],[None],982745,001,2024-10-03_20h21.29.940,Visual_search,2024.2.1post4,59.902909406183504,2024-10-03 20h21.33.931097 +0530,
3,0,3,[0.262037037037037],[-0.046296296296296294],[1],[0],[0],[1.9295210000127554],[None],3,0,3,0,9.436966199893504,,10,9.428234999999404,9.436966199893504,9.436966199893504,0.019211400067433715,11.358280000044033,[0.262037037037037],[-0.046296296296296294],[1],[0],[0],[1.9295210000127554],[None],982745,001,2024-10-03_20h21.29.940,Visual_search,2024.2.1post4,59.902909406183504,2024-10-03 20h21.33.931097 +0530,
4,0,4,[-0.30925925925925923],[-0.20185185185185187],[1],[0],[0],[1.9248087001033127],[None],4,0,4,0,11.374724599998444,,5,11.3688616999425,11.374724599998444,11.374724599998444,0.010383300017565489,13.294773200061172,[-0.30925925925925923],[-0.20185185185185187],[1],[0],[0],[1.9248087001033127],[None],982745,001,2024-10-03_20h21.29.940,Visual_search,2024.2.1post4,59.902909406183504,2024-10-03 20h21.33.931097 +0530,
