thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.354],[0.388],[0],[0],[1],[7.7086945998016745],['target'],0,0,0,0,0.062020699959248304,,10,0.03945369995199144,0.062020699959248304,0.062020699959248304,0.039205099921673536,7.748757599852979,[-0.354],[0.388],[0],[0],[1],[7.7086945998016745],['target'],330836,001,2024-10-03_22h16.43.212,visual_search1,2024.2.1post4,60.11768638316253,2024-10-03 22h16.49.219434 +0530,
1,0,1,[0.114],[0.39],[1],[0],[0],[2.549828400136903],[None],1,0,1,0,7.777425899868831,,5,7.762151499977335,7.777425899868831,7.777425899868831,0.013204799965023994,10.312423299998045,[0.114],[0.39],[1],[0],[0],[2.549828400136903],[None],330836,001,2024-10-03_22h16.43.212,visual_search1,2024.2.1post4,60.11768638316253,2024-10-03 22h16.49.219434 +0530,
2,0,2,[0.072],[-0.372],[1],[0],[0],[2.0446498999372125],[None],2,0,2,0,10.359965299954638,,10,10.336515999864787,10.359965299954638,10.359965299954638,0.02396159991621971,12.381761600030586,[0.072],[-0.372],[1],[0],[0],[2.0446498999372125],[None],330836,001,2024-10-03_22h16.43.212,visual_search1,2024.2.1post4,60.11768638316253,2024-10-03 22h16.49.219434 +0530,
3,0,3,[-0.458],[0.126],[1],[0],[0],[1.9661801001057029],['target'],3,0,3,0,12.410209299996495,,5,12.397063799900934,12.410209299996495,12.410209299996495,0.01510070008225739,14.363620599964634,[-0.458],[0.126],[1],[0],[0],[1.9661801001057029],['target'],330836,001,2024-10-03_22h16.43.212,visual_search1,2024.2.1post4,60.11768638316253,2024-10-03 22h16.49.219434 +0530,
4,0,4,[-0.256],[-0.414],[1],[0],[0],[1.3240146997850388],['target'],4,0,4,0,14.410051099956036,,10,14.387008999940008,14.410051099956036,14.410051099956036,0.02324370015412569,15.71144049987197,[-0.256],[-0.414],[1],[0],[0],[1.3240146997850388],['target'],330836,001,2024-10-03_22h16.43.212,visual_search1,2024.2.1post4,60.11768638316253,2024-10-03 22h16.49.219434 +0530,
