thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.006],[-0.086],[1],[0],[0],[1.3671252001076937],['target'],0,0,0,0,0.041956499917432666,,10,0.027466299943625927,0.041956499917432666,0.041956499917432666,0.02698009996674955,1.395216800039634,[-0.006],[-0.086],[1],[0],[0],[1.3671252001076937],['target'],213625,001,2024-10-04_11h09.13.569,visual_search1,2024.2.1post4,60.400005067732614,2024-10-04 11h09.17.855414 +0530,
1,0,1,[-0.172],[0.386],[1],[0],[0],[1.455086600035429],['target'],1,0,1,0,1.4245112999342382,,5,1.4061803000513464,1.4245112999342382,1.4245112999342382,0.010731999995186925,2.8619534999597818,[-0.172],[0.386],[1],[0],[0],[1.455086600035429],['target'],213625,001,2024-10-04_11h09.13.569,visual_search1,2024.2.1post4,60.400005067732614,2024-10-04 11h09.17.855414 +0530,
2,0,2,[-0.482],[0.316],[1],[0],[0],[1.1812183000147343],['target'],2,0,2,0,2.8912563999183476,,10,2.879779800074175,2.8912563999183476,2.8912563999183476,0.017671399982646108,4.0616748000029474,[-0.482],[0.316],[1],[0],[0],[1.1812183000147343],['target'],213625,001,2024-10-04_11h09.13.569,visual_search1,2024.2.1post4,60.400005067732614,2024-10-04 11h09.17.855414 +0530,
3,0,3,[-0.178],[-0.328],[1],[0],[0],[1.761586699867621],['target'],3,0,3,0,4.1080446999985725,,10,4.08293869998306,4.1080446999985725,4.1080446999985725,0.021060800179839134,5.845215999986976,[-0.178],[-0.328],[1],[0],[0],[1.761586699867621],['target'],213625,001,2024-10-04_11h09.13.569,visual_search1,2024.2.1post4,60.400005067732614,2024-10-04 11h09.17.855414 +0530,
4,0,4,[0.218],[-0.216],[1],[0],[0],[2.0033930998761207],['target'],4,0,4,0,5.874299600021914,,5,5.856942899990827,5.874299600021914,5.874299600021914,0.011521700071170926,7.861014800146222,[0.218],[-0.216],[1],[0],[0],[2.0033930998761207],['target'],213625,001,2024-10-04_11h09.13.569,visual_search1,2024.2.1post4,60.400005067732614,2024-10-04 11h09.17.855414 +0530,
