3.0874 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=258, pos=array([0.23411344, 0.38915733]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
3.0875 	EXP 	window1: mouseVisible = False
3.0896 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=162, pos=array([-0.06910934, -0.22385863]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
3.0897 	EXP 	window1: mouseVisible = False
3.0915 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=11, pos=array([ 0.49961904, -0.28656605]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
3.0916 	EXP 	window1: mouseVisible = False
3.0931 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=182, pos=array([0.44374889, 0.43040216]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
3.0990 	EXP 	fixation: autoDraw = False
3.0990 	EXP 	target: autoDraw = False
3.0990 	EXP 	distr: autoDraw = False
3.0990 	EXP 	distr: autoDraw = False
3.0990 	EXP 	distr: autoDraw = False
3.0990 	EXP 	distr: autoDraw = False
3.0990 	EXP 	distr: autoDraw = False
3.0990 	EXP 	distr: autoDraw = True
3.0990 	EXP 	distr: autoDraw = True
3.0990 	EXP 	distr: autoDraw = True
3.0990 	EXP 	distr: autoDraw = True
3.0990 	EXP 	distr: autoDraw = True
3.0990 	EXP 	fixation: autoDraw = True
3.0990 	EXP 	target: autoDraw = True
3.1943 	DATA 	Mouse:  Left button up, pos=(1229,882)
7.9911 	DATA 	Mouse: Left button down, pos=(189,595)
7.9928 	EXP 	New trial (rep=2, index=0): <Trial 2 (0 in rep 2) data={'thisN': 2, 'thisTrialN': 0, 'thisRepN': 2}>
7.9931 	EXP 	window1: mouseVisible = False
7.9961 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=98, pos=array([0.15339053, 0.036119  ]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
7.9962 	EXP 	window1: mouseVisible = False
7.9981 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=75, pos=array([-0.18523798, -0.06508221]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
7.9982 	EXP 	window1: mouseVisible = False
7.9999 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=264, pos=array([-0.29452682, -0.22876575]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
7.9999 	EXP 	window1: mouseVisible = False
