0.1020 	EXP 	window1: mouseVisible = False
0.1056 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=237, pos=array([-0.12763818,  0.13158305]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
0.1057 	EXP 	window1: mouseVisible = False
0.1083 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=12, pos=array([-0.11455358, -0.35803744]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
0.1291 	EXP 	distr: autoDraw = True
0.1291 	EXP 	distr: autoDraw = True
0.1291 	EXP 	distr: autoDraw = True
0.1291 	EXP 	distr: autoDraw = True
0.1291 	EXP 	distr: autoDraw = True
0.1291 	EXP 	fixation: autoDraw = True
0.1291 	EXP 	target: autoDraw = True
16.0120 	DATA 	Keypress: t
48.8114 	DATA 	Keypress: t
49.0624 	DATA 	Keypress: t
51.1435 	DATA 	Mouse: Left button down, pos=(431,195)
51.1462 	EXP 	New trial (rep=1, index=0): <Trial 1 (0 in rep 1) data={'thisN': 1, 'thisTrialN': 0, 'thisRepN': 1}>
51.1466 	EXP 	window1: mouseVisible = False
51.1502 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=224, pos=array([-0.42510884,  0.30451284]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
51.1503 	EXP 	window1: mouseVisible = False
