thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.32],[-0.154],[1],[0],[0],[29.12012799992226],['target'],0,0,0,0,0.041941900039091706,,5,0.02333860006183386,0.041941900039091706,0.041941900039091706,0.022986900061368942,29.14420390012674,[-0.32],[-0.154],[1],[0],[0],[29.12012799992226],['target'],445088,001,2024-10-04_11h04.03.690,visual_search1,2024.2.1post4,59.75707555110225,2024-10-04 11h04.21.276634 +0530,
1,0,1,[0.072],[-0.212],[1],[0],[0],[1.5463083998765796],['target'],1,0,1,0,29.188531100051478,,10,29.162716099992394,29.188531100051478,29.188531100051478,0.018382999813184142,30.709623200120404,[0.072],[-0.212],[1],[0],[0],[1.5463083998765796],['target'],445088,001,2024-10-04_11h04.03.690,visual_search1,2024.2.1post4,59.75707555110225,2024-10-04 11h04.21.276634 +0530,
2,0,2,[0.08],[0.086],[1],[0],[0],[1.609085600124672],['target'],2,0,2,0,30.755091700004414,,10,30.731428100029007,30.755091700004414,30.755091700004414,0.021524399984627962,32.34083979995921,[0.08],[0.086],[1],[0],[0],[1.609085600124672],['target'],445088,001,2024-10-04_11h04.03.690,visual_search1,2024.2.1post4,59.75707555110225,2024-10-04 11h04.21.276634 +0530,
3,0,3,[-0.084],[-0.246],[1],[0],[0],[1.313819499919191],['target'],3,0,3,0,32.37245210004039,,10,32.360368200112134,32.37245210004039,32.37245210004039,0.01940719992853701,33.6747628999874,[-0.084],[-0.246],[1],[0],[0],[1.313819499919191],['target'],445088,001,2024-10-04_11h04.03.690,visual_search1,2024.2.1post4,59.75707555110225,2024-10-04 11h04.21.276634 +0530,
4,0,4,[0.152],[-0.11],[1],[0],[0],[1.4200344998389482],['target'],4,0,4,0,33.704600299941376,,5,33.689869299996644,33.704600299941376,33.704600299941376,0.014886799966916442,35.110829500015825,[0.152],[-0.11],[1],[0],[0],[1.4200344998389482],['target'],445088,001,2024-10-04_11h04.03.690,visual_search1,2024.2.1post4,59.75707555110225,2024-10-04 11h04.21.276634 +0530,
