thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.226],[0.134],[1],[0],[0],[1.2733366000466049],['target'],0,0,0,0,0.037486999994143844,,5,0.01610490004532039,0.037486999994143844,0.037486999994143844,0.015607499983161688,1.2901246999390423,[-0.226],[0.134],[1],[0],[0],[1.2733366000466049],['target'],818570,001,2024-10-04_11h14.50.086,visual_search1,2024.2.1post4,59.54000580011408,2024-10-04 11h14.53.662196 +0530,
1,0,1,[0.374],[-0.356],[1],[0],[0],[1.2426475000102073],['target'],1,0,1,0,1.320237800013274,,5,1.2990681000519544,1.320237800013274,1.320237800013274,0.008846899960190058,2.542509699938819,[0.374],[-0.356],[1],[0],[0],[1.2426475000102073],['target'],818570,001,2024-10-04_11h14.50.086,visual_search1,2024.2.1post4,59.54000580011408,2024-10-04 11h14.53.662196 +0530,
2,0,2,[0.34],[0.39],[1],[0],[0],[2.271148000145331],['target'],2,0,2,0,2.5708373999223113,,5,2.5514078000560403,2.5708373999223113,2.5708373999223113,0.008784200064837933,4.823342100018635,[0.34],[0.39],[1],[0],[0],[2.271148000145331],['target'],818570,001,2024-10-04_11h14.50.086,visual_search1,2024.2.1post4,59.54000580011408,2024-10-04 11h14.53.662196 +0530,
3,0,3,[0.432],[-0.138],[1],[0],[0],[1.2442509999964386],['target'],3,0,3,0,4.870384000008926,,10,4.84480129997246,4.870384000008926,4.870384000008926,0.021323999855667353,6.089601800078526,[0.432],[-0.138],[1],[0],[0],[1.2442509999964386],['target'],818570,001,2024-10-04_11h14.50.086,visual_search1,2024.2.1post4,59.54000580011408,2024-10-04 11h14.53.662196 +0530,
4,0,4,[-0.208],[0.286],[1],[0],[0],[1.4948289999738336],['target'],4,0,4,0,6.119757300009951,,10,6.110842199996114,6.119757300009951,6.119757300009951,0.02107760007493198,7.606419600080699,[-0.208],[0.286],[1],[0],[0],[1.4948289999738336],['target'],818570,001,2024-10-04_11h14.50.086,visual_search1,2024.2.1post4,59.54000580011408,2024-10-04 11h14.53.662196 +0530,
