thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[0.5231481481481481],[0.4842592592592593],[1],[0],[0],[2.9235505000688136],[None],0,0,0,0,0.030580300139263272,,5,0.01935119996778667,0.030580300139263272,0.030580300139263272,0.018948399927467108,2.9436083000618964,[0.5231481481481481],[0.4842592592592593],[1],[0],[0],[2.9235505000688136],[None],126580,001,2024-10-03_22h11.41.481,visual_search1,2024.2.1post4,59.91848688360035,2024-10-03 22h11.45.920172 +0530,
1,0,1,[-0.1712962962962963],[-0.14907407407407408],[1],[0],[0],[1.1093234999570996],[None],1,0,1,0,2.975590000161901,,10,2.9648398000281304,2.975590000161901,2.975590000161901,0.021038700127974153,4.074669300112873,[-0.1712962962962963],[-0.14907407407407408],[1],[0],[0],[1.1093234999570996],[None],126580,001,2024-10-03_22h11.41.481,visual_search1,2024.2.1post4,59.91848688360035,2024-10-03 22h11.45.920172 +0530,
2,0,2,[0.4861111111111111],[0.275],[1],[0],[0],[1.2056775998789817],[None],2,0,2,0,4.113565400009975,,10,4.101529899984598,4.113565400009975,4.113565400009975,0.026652999920770526,5.307709200074896,[0.4861111111111111],[0.275],[1],[0],[0],[1.2056775998789817],[None],126580,001,2024-10-03_22h11.41.481,visual_search1,2024.2.1post4,59.91848688360035,2024-10-03 22h11.45.920172 +0530,
3,0,3,[0.08888888888888889],[0.3212962962962963],[1],[0],[0],[2.256355500081554],[None],3,0,3,0,5.327048199949786,,5,5.319095600163564,5.327048199949786,5.327048199949786,0.011124499840661883,7.576321100117639,[0.08888888888888889],[0.3212962962962963],[1],[0],[0],[2.256355500081554],[None],126580,001,2024-10-03_22h11.41.481,visual_search1,2024.2.1post4,59.91848688360035,2024-10-03 22h11.45.920172 +0530,
4,0,4,[0.29907407407407405],[0.1638888888888889],[1],[0],[0],[0.8669642999302596],[None],4,0,4,0,7.597904199967161,,5,7.591034600045532,7.597904199967161,7.597904199967161,0.014513300033286214,8.458530999952927,[0.29907407407407405],[0.1638888888888889],[1],[0],[0],[0.8669642999302596],[None],126580,001,2024-10-03_22h11.41.481,visual_search1,2024.2.1post4,59.91848688360035,2024-10-03 22h11.45.920172 +0530,
